date,cash
2023-01-02,49795.95
2023-01-03,49795.95
2023-01-04,49795.95
2023-01-05,287102.97
2023-01-06,334567.67
2023-01-09,47648.75
2023-01-10,47648.75
2023-01-11,47648.75
2023-01-12,143623.95
2023-01-13,143623.95
2023-01-16,47798.93
2023-01-17,47798.93
2023-01-18,47798.93
2023-01-19,193524.84
2023-01-20,193524.84
2023-01-23,48264.56
2023-01-24,48264.56
2023-01-25,48264.56
2023-01-26,142275.51
2023-01-27,142275.51
2023-01-30,47333.77
2023-01-31,47333.77
2023-02-01,47333.77
2023-02-02,94242.98
2023-02-03,94242.98
2023-02-06,47057.91
2023-02-07,47057.91
2023-02-08,47057.91
2023-02-09,94226.61
2023-02-10,94226.61
2023-02-13,47052.17
2023-02-14,47052.17
2023-02-15,47052.17
2023-02-16,47052.17
2023-02-17,88534.24
2023-02-22,88534.24
2023-02-23,88534.24
2023-02-24,88534.24
2023-02-27,43830.55
2023-02-28,43830.55
2023-03-01,43830.55
2023-03-02,126946.37
2023-03-03,193368.75
2023-03-06,246200.94
2023-03-07,287911.89
2023-03-08,321282.91
2023-03-09,348268.87
2023-03-10,348268.87
2023-03-13,173884.32
2023-03-14,185178.75
2023-03-15,185178.75
2023-03-16,185178.75
2023-03-17,185178.75
2023-03-20,185178.75
2023-03-21,185178.75
2023-03-22,185178.75
2023-03-23,185178.75
2023-03-24,185178.75
2023-03-27,61594.02
2023-03-28,233326.08
2023-03-29,250096.65
2023-03-30,288215.50
2023-03-31,319286.33
2023-04-03,343952.99
2023-04-04,363932.88
2023-04-05,379552.92
2023-04-06,391869.32
2023-04-10,401837.47
2023-04-11,409770.93
2023-04-12,416151.40
2023-04-13,421313.72
2023-04-14,425517.82
2023-04-17,428964.47
2023-04-18,431633.56
2023-04-19,433747.84
2023-04-20,435431.98
2023-04-24,436764.62
2023-04-25,437772.89
2023-04-26,438567.46
2023-04-27,439170.61
2023-04-28,439642.62
2023-05-02,440012.83
2023-05-03,440273.85
2023-05-04,440498.27
2023-05-05,440649.25
2023-05-08,220112.74
2023-05-09,220112.74
2023-05-10,220112.74
2023-05-11,220112.74
2023-05-12,220112.74
2023-05-15,220112.74
2023-05-16,220112.74
2023-05-17,220112.74
2023-05-18,220112.74
2023-05-19,220112.74
2023-05-22,220112.74
2023-05-23,220112.74
2023-05-24,220112.74
2023-05-25,220112.74
2023-05-26,220112.74
2023-05-29,220112.74
2023-05-30,220112.74
2023-05-31,220112.74
2023-06-01,220112.74
2023-06-02,220112.74
