date,equity
2023-01-02,499235.84
2023-01-03,482868.69
2023-01-04,479284.88
2023-01-05,481092.48
2023-01-06,481915.51
2023-01-09,481563.06
2023-01-10,484326.07
2023-01-11,487172.99
2023-01-12,495351.22
2023-01-13,495150.37
2023-01-16,491971.49
2023-01-17,491983.25
2023-01-18,494773.21
2023-01-19,496972.70
2023-01-20,498554.48
2023-01-23,494235.23
2023-01-24,487799.22
2023-01-25,490971.92
2023-01-26,495868.46
2023-01-27,496649.35
2023-01-30,491138.25
2023-01-31,489766.14
2023-02-01,493756.31
2023-02-02,490659.12
2023-02-03,485450.11
2023-02-06,480711.39
2023-02-07,481337.03
2023-02-08,476393.91
2023-02-09,483676.47
2023-02-10,473152.78
2023-02-13,475558.98
2023-02-14,477724.04
2023-02-15,473485.32
2023-02-16,475916.04
2023-02-17,476943.54
2023-02-22,474850.74
2023-02-23,467126.78
2023-02-24,467794.98
2023-02-27,462238.78
2023-02-28,460610.48
2023-03-01,460050.18
2023-03-02,458347.15
2023-03-03,455579.49
2023-03-06,455602.84
2023-03-07,457039.42
2023-03-08,457511.79
2023-03-09,459354.23
2023-03-10,457484.13
2023-03-13,456380.75
2023-03-14,457819.54
2023-03-15,459570.01
2023-03-16,462342.90
2023-03-17,467572.97
2023-03-20,456152.85
2023-03-21,453744.42
2023-03-22,453435.74
2023-03-23,451406.06
2023-03-24,440229.65
2023-03-27,441106.15
2023-03-28,441644.15
2023-03-29,444313.35
2023-03-30,443410.95
2023-03-31,444535.17
2023-04-03,442729.24
2023-04-04,441797.29
2023-04-05,442421.73
2023-04-06,442215.73
2023-04-10,442347.79
2023-04-11,442459.17
2023-04-12,443071.67
2023-04-13,443344.59
2023-04-14,442991.93
2023-04-17,442927.91
2023-04-18,442798.70
2023-04-19,442675.89
2023-04-20,442432.28
2023-04-24,442412.74
2023-04-25,442261.92
2023-04-26,442171.54
2023-04-27,442048.58
2023-04-28,441993.40
2023-05-02,441920.89
2023-05-03,441804.90
2023-05-04,441801.10
2023-05-05,441815.64
2023-05-08,441481.95
2023-05-09,440601.12
2023-05-10,442727.76
2023-05-11,442562.62
2023-05-12,446637.07
2023-05-15,447517.36
2023-05-16,450524.45
2023-05-17,447164.34
2023-05-18,456170.16
2023-05-19,459170.49
2023-05-22,460415.73
2023-05-23,457406.60
2023-05-24,454231.70
2023-05-25,448051.73
2023-05-26,453720.84
2023-05-29,462194.99
2023-05-30,459900.68
2023-05-31,456709.06
2023-06-01,456170.27
2023-06-02,473482.33
2023-06-05,475619.55
2023-06-06,476328.20
2023-06-07,475458.64
2023-06-09,481297.64
2023-06-12,480604.88
2023-06-13,484147.23
2023-06-14,479015.51
2023-06-15,489786.47
2023-06-16,480791.22
2023-06-19,479209.24
2023-06-20,482393.65
2023-06-21,481174.98
2023-06-22,479598.70
2023-06-23,471809.88
2023-06-26,475883.02
2023-06-27,469167.99
2023-06-28,469336.23
2023-06-29,467392.27
2023-06-30,479590.13
2023-07-03,479075.86
2023-07-04,484741.78
2023-07-05,481384.48
2023-07-06,481206.52
2023-07-07,471471.07
2023-07-10,474675.63
2023-07-11,469720.92
2023-07-12,467067.18
2023-07-13,472716.39
2023-07-14,478208.75
2023-07-17,476253.18
2023-07-18,478743.49
2023-07-19,480865.11
2023-07-20,478915.39
2023-07-21,479103.37
2023-07-24,489007.47
2023-07-25,487764.33
2023-07-26,485819.55
2023-07-27,485120.54
2023-07-28,478927.79
2023-07-31,481056.01
2023-08-01,484236.75
2023-08-02,481406.70
2023-08-03,481929.40
2023-08-04,483691.00
2023-08-07,480857.22
2023-08-08,479445.21
2023-08-09,476971.96
2023-08-10,473615.99
2023-08-11,473086.22
2023-08-14,471846.48
2023-08-15,470261.66
2023-08-16,468650.70
2023-08-17,464930.29
2023-08-18,458210.35
2023-08-21,462138.59
2023-08-22,459591.59
2023-08-23,464974.65
2023-08-24,469795.06
2023-08-25,462591.35
2023-08-28,459757.43
2023-08-29,460330.99
2023-08-30,460909.97
2023-08-31,455963.27
2023-09-01,451852.46
2023-09-04,452455.80
2023-09-05,453352.16
2023-09-06,450067.74
2023-09-08,447458.48
2023-09-11,447455.39
2023-09-12,451647.21
2023-09-13,454482.24
2023-09-14,455065.08
2023-09-15,456093.48
2023-09-18,454957.78
2023-09-19,453590.31
2023-09-20,451774.10
2023-09-21,454146.11
2023-09-22,448036.37
2023-09-25,444641.20
2023-09-26,444208.62
2023-09-27,442341.56
2023-09-28,442334.07
2023-09-29,442349.89
2023-10-02,442013.15
2023-10-03,445476.55
2023-10-04,445464.37
2023-10-05,445474.64
2023-10-06,445472.65
2023-10-09,445134.54
2023-10-10,443666.17
2023-10-11,443677.25
2023-10-13,443687.58
2023-10-16,443323.86
2023-10-17,445617.77
2023-10-18,443313.11
2023-10-19,441307.94
2023-10-20,442381.41
2023-10-23,438257.05
2023-10-24,438578.14
2023-10-25,438584.95
2023-10-26,437971.20
2023-10-27,443487.10
2023-10-30,441174.19
2023-10-31,438716.29
2023-11-01,435664.65
2023-11-03,437657.77
2023-11-06,447630.79
2023-11-07,447485.86
2023-11-08,453453.99
2023-11-09,454686.52
2023-11-10,455127.90
2023-11-13,451788.39
2023-11-14,447196.32
2023-11-16,451951.29
2023-11-17,459901.58
2023-11-20,457752.39
2023-11-21,458360.02
2023-11-22,457433.12
2023-11-23,462329.06
2023-11-24,468741.53
2023-11-27,468713.88
2023-11-28,467194.44
2023-11-29,472055.71
2023-11-30,471095.20
2023-12-01,473678.46
2023-12-04,476408.34
2023-12-05,474350.09
2023-12-06,475875.45
2023-12-07,471383.73
2023-12-08,472509.00
2023-12-11,478626.22
2023-12-12,479970.09
2023-12-13,478056.23
2023-12-14,493891.04
2023-12-15,501759.08
2023-12-18,502984.65
2023-12-19,505576.31
2023-12-20,503954.64
2023-12-21,496264.49
2023-12-22,499155.68
2023-12-26,492606.91
2023-12-27,494661.92
2023-12-28,495510.98
2024-01-02,496937.04
2024-01-03,488480.43
2024-01-04,488130.40
2024-01-05,481098.12
2024-01-08,488749.54
2024-01-09,489429.73
2024-01-10,480670.65
2024-01-11,475196.42
2024-01-12,474065.47
2024-01-15,473374.95
2024-01-16,474033.30
2024-01-17,472186.32
2024-01-18,471419.24
2024-01-19,471231.85
2024-01-22,470930.73
2024-01-23,469793.98
2024-01-24,469991.77
2024-01-25,469620.05
2024-01-26,469390.39
2024-01-29,469529.16
2024-01-30,469058.71
2024-01-31,468321.16
2024-02-01,468745.66
2024-02-02,469014.82
2024-02-05,468796.22
2024-02-06,469613.49
2024-02-07,472984.96
2024-02-08,464841.32
2024-02-09,464341.78
2024-02-14,464485.00
2024-02-15,463799.56
2024-02-16,463495.73
2024-02-19,463224.10
2024-02-20,463833.51
2024-02-21,461923.90
2024-02-22,466078.07
2024-02-23,468486.58
2024-02-26,462045.47
2024-02-27,466488.12
2024-02-28,473052.71
2024-02-29,472748.19
2024-03-01,473190.05
2024-03-04,472112.40
2024-03-05,468845.71
2024-03-06,472698.50
2024-03-07,468421.49
2024-03-08,466519.83
2024-03-11,468959.27
2024-03-12,469293.17
2024-03-13,473104.14
2024-03-14,477046.51
2024-03-15,479971.89
2024-03-18,479134.55
2024-03-19,479277.35
2024-03-20,481937.85
2024-03-21,490491.74
2024-03-22,490389.51
2024-03-25,490295.76
2024-03-26,494751.23
2024-03-27,473457.05
2024-03-28,478987.99
2024-04-01,480271.70
2024-04-02,485118.62
2024-04-03,486065.98
2024-04-04,483020.27
2024-04-05,483494.49
2024-04-08,479410.83
2024-04-09,480659.13
2024-04-10,482367.45
2024-04-11,476608.45
2024-04-12,477483.27
2024-04-15,471708.93
2024-04-16,459911.64
2024-04-17,455912.62
2024-04-18,457881.63
2024-04-19,460299.01
2024-04-22,460157.74
2024-04-23,460424.83
2024-04-24,459465.20
2024-04-25,458645.27
2024-04-26,457477.15
2024-04-29,458690.03
2024-04-30,459440.77
2024-05-02,459009.30
2024-05-03,460477.78
2024-05-06,462663.61
2024-05-07,460295.59
2024-05-08,460098.31
2024-05-09,460802.99
2024-05-10,462015.29
2024-05-13,462433.87
2024-05-14,461314.03
2024-05-15,461966.86
2024-05-16,463396.93
2024-05-17,467087.45
2024-05-20,467890.76
2024-05-21,469454.32
2024-05-22,469893.18
2024-05-23,463721.85
2024-05-24,464177.58
2024-05-27,465488.49
2024-05-28,465037.47
2024-05-29,464146.07
2024-05-31,462397.30
2024-06-03,460718.83
2024-06-04,462107.19
2024-06-05,460613.05
2024-06-06,460565.82
2024-06-07,462261.40
2024-06-10,460787.95
2024-06-11,459488.74
2024-06-12,462579.93
2024-06-13,460507.57
2024-06-14,460925.29
2024-06-17,460851.41
2024-06-18,460453.74
2024-06-19,462446.74
2024-06-20,464227.06
2024-06-21,465386.53
2024-06-24,465167.39
2024-06-25,465113.18
2024-06-26,464837.29
2024-06-27,463778.22
2024-06-28,466022.45
2024-07-01,465253.92
2024-07-02,466364.72
2024-07-03,467204.73
2024-07-04,466828.09
2024-07-05,467741.84
2024-07-08,468449.68
2024-07-09,469258.99
2024-07-10,468084.45
2024-07-11,467138.44
2024-07-12,469392.51
2024-07-15,469280.54
2024-07-16,469408.97
2024-07-17,470368.13
2024-07-18,471580.73
2024-07-19,467985.96
2024-07-22,466299.79
2024-07-23,466949.52
2024-07-24,464633.54
2024-07-25,463886.81
2024-07-26,462913.45
2024-07-29,464661.89
2024-07-30,463990.07
2024-07-31,464609.96
2024-08-01,464449.68
2024-08-02,466489.72
2024-08-05,465343.77
2024-08-06,466704.93
2024-08-07,466682.79
2024-08-08,469505.50
2024-08-09,472265.37
2024-08-12,474854.47
2024-08-13,475417.48
2024-08-14,475383.04
2024-08-15,479338.12
2024-08-16,477318.86
2024-08-19,476823.59
2024-08-20,480006.89
2024-08-21,481215.77
2024-08-22,481997.03
2024-08-23,480737.37
2024-08-26,482604.37
2024-08-27,479375.86
2024-08-28,478640.24
2024-08-29,478192.28
2024-08-30,477168.10
2024-09-02,477036.03
2024-09-03,475032.93
2024-09-04,473921.03
2024-09-05,477438.48
2024-09-06,475339.83
2024-09-09,473346.69
2024-09-10,473166.38
2024-09-11,473384.82
2024-09-12,473084.60
2024-09-13,472349.86
2024-09-16,472025.44
2024-09-17,470944.43
2024-09-18,472167.84
2024-09-19,469736.88
2024-09-20,469246.67
2024-09-23,467373.96
2024-09-24,467415.49
2024-09-25,467663.86
2024-09-26,466453.00
2024-09-27,467213.17
2024-09-30,465633.05
2024-10-01,465582.74
2024-10-02,465671.69
2024-10-03,469385.15
2024-10-04,465096.81
2024-10-07,465312.30
2024-10-08,461647.03
2024-10-09,461551.88
2024-10-10,461152.72
2024-10-11,461411.27
2024-10-14,460637.79
2024-10-15,463075.53
2024-10-16,464254.15
2024-10-17,463975.28
2024-10-18,464765.31
2024-10-21,465492.38
2024-10-22,468510.72
2024-10-23,465260.73
2024-10-24,470964.09
2024-10-25,478057.56
2024-10-28,470490.02
2024-10-29,475626.22
2024-10-30,470646.67
2024-10-31,475343.40
2024-11-01,463767.06
2024-11-04,456008.02
2024-11-05,472568.92
2024-11-06,470751.42
2024-11-07,471170.85
2024-11-08,458026.84
2024-11-11,450045.57
2024-11-12,462852.05
2024-11-13,453320.01
2024-11-14,455653.86
2024-11-18,451825.24
2024-11-19,454091.13
2024-11-21,456233.26
