month,SELL_RULESET_01,SELL_RULESET_02,SELL_RULESET_03,SELL_RULESET_04,SELL_RULESET_05,IBOV
2023-01,100.0,100.0,100.0,100.0,100.0,100.0
2023-02,145.85403870288155,93.67368442001063,184.4215736158115,199.10777055753954,184.4215736158115,92.42504315963781
2023-03,280.7207786717268,93.66048767698433,432.76184884203576,361.0470337401435,432.76184884203576,89.73857590811402
2023-04,627.9838907407774,97.55512077630736,1483.360015975223,767.4291614797756,1483.360015975223,91.9846386921749
2023-05,1325.323049679866,105.08500743731774,1591.1405584350202,1297.8059397395925,1591.1405584350202,95.42243596519043
2023-06,3848.220794741947,113.03752399304084,1715.557207716315,1390.5639517361312,1715.557207716315,104.01208469858719
2023-07,16383.238507656055,113.62322166675887,1786.1254813258658,1424.7936255284778,1786.1254813258658,107.40848395166121
2023-08,44977.181770149895,109.10378632230982,1722.9187556507231,2015.5505749645258,1739.4218062480081,101.9465877461861
2023-09,110681.0975470346,104.2557725252501,1674.8832251660435,6336.645630015613,1664.3675660640504,102.67149349963005
2023-10,290242.9055595449,99.96466018843152,8778.510625449817,46708.44700078884,6288.177647795954,99.65824613324877
2023-11,740753.4196685975,110.51328355889942,13661.48941211954,203452.713404742,9566.543155884028,112.1542824930416
2023-12,2072150.0158995104,116.34077028593002,14382.85544578915,277237.1469831156,10087.189130479952,118.19134693302328
2024-01,8547529.495628677,109.92342675670686,13402.310296575928,1082668.0750694189,9386.59305600567,112.52510305464538
2024-02,28641537.850063834,109.06736199699512,23576.596141503513,2137520.473399784,14613.902956843418,113.64196878413135
2024-03,82648153.54751338,106.44206094857707,78715.80882732778,19858496.804246802,41998.61071845917,112.83690941760914
2024-04,198199331.0873716,102.27283042933779,77611.83712108413,50579116.958639964,41348.716216186804,110.91498432160097
2024-05,433131384.5826997,99.37651049120986,79433.50365461632,96895250.59118922,42217.11522491479,107.54500933657471
2024-06,1678040844.840028,99.09402752437462,80318.14167468014,215951463.10940543,42684.54877795478,109.13839269985554
2024-07,4591514469.832335,99.00998136060466,80936.51377779363,336419897.0960797,42979.02081614889,112.43702216115281
2024-08,4589998909.285699,106.23478371527753,83749.74715365744,517443808.5443531,44523.67035351091,119.79353838565339
2024-09,19653925621.441105,101.30664187986764,103130.83747315938,799436838.2100601,55624.521079489445,116.10471056618398
2024-10,284037657209.91846,100.249041967213,220588.72838934517,6312050142.750243,119334.09244659179,114.25236937603496
2024-11,607420388620.8088,94.20371769121265,205665.07633485922,14517014253.88673,111178.36356089587,110.68949723425993
2024-12,1660681835738.9697,89.71461951916604,1264047.9255633783,24987967704.24745,666723.8116211592,105.94634111968433
2025-01,3548090974930.831,95.0362846530898,3259047.104125461,40279599200.04817,1716521.0945939324,111.10083500687031
2025-02,13938728258137.918,96.34032114387352,5169247.07840878,71849632049.7276,2722000.139173844,108.16245639995772
2025-03,33821681113647.633,103.30525647745918,5509076.930291138,105213964343.03253,2900595.5501412414,114.7341718634394
2025-04,133390316587887.4,110.12729160584536,8000097.205882289,179511028343.4567,4211613.524029806,118.96822041362786
2025-05,246223119698171.0,113.51745418979245,8414489.085568538,494608798209.2493,4429733.413665703,120.69460592608252
2025-06,475827383976620.9,111.0360447455035,10496340.386702977,484086064889.72845,5525298.001726083,122.30472465912695
2025-07,1812906615448401.2,107.0592259529617,10151275.49521622,990961535794.5188,5343753.555090729,117.2101257795159
2025-08,1.6843976003142846e+16,113.07909336841753,10592341.02032848,1356656605191.2324,5575941.815458685,124.56576119508156
2025-09,2.808960999098039e+16,118.8985959563704,10828062.420196334,1355111697283.7932,5699939.736607665,128.80685621674945
2025-10,2.761613690867907e+16,120.05129896082039,10966951.871721316,1347054135742.14,5773026.296333467,131.7161681288095
2025-11,2.831498811454597e+16,110.80789153547977,11901834.673361603,1403844117816.82,6264924.046758361,140.11203889652256
2025-12,1.1861118106336947e+17,106.38041893999188,11179921.72684953,2314915014055.857,5883993.760605182,141.9203396399253
2026-01,9.242329541409882e+17,115.17792141803275,11203683.131020445,2350329503050.911,6091609.948920796,161.26734918349013
