date,equity
2023-01-02,548603.49
2023-01-03,530943.30
2023-01-04,517052.30
2023-01-05,526368.27
2023-01-06,535461.88
2023-01-09,540000.81
2023-01-10,538149.74
2023-01-11,547462.46
2023-01-12,560254.23
2023-01-13,556165.96
2023-01-16,553199.94
2023-01-17,544677.46
2023-01-18,555276.18
2023-01-19,558794.09
2023-01-20,559039.97
2023-01-23,555452.13
2023-01-24,547540.39
2023-01-25,552449.49
2023-01-26,559424.69
2023-01-27,557522.91
2023-01-30,548710.11
2023-01-31,547710.90
2023-02-01,557832.88
2023-02-02,553032.54
2023-02-03,549656.78
2023-02-06,536391.34
2023-02-07,537569.47
2023-02-08,531693.90
2023-02-09,540632.91
2023-02-10,531302.68
2023-02-13,529999.77
2023-02-14,534326.27
2023-02-15,528571.05
2023-02-16,537175.86
2023-02-17,536558.02
2023-02-22,533972.00
2023-02-23,524579.88
2023-02-24,524796.81
2023-02-27,515806.62
2023-02-28,513060.98
2023-03-01,511097.78
2023-03-02,506740.99
2023-03-03,499755.77
2023-03-06,503187.91
2023-03-07,511325.91
2023-03-08,514202.87
2023-03-09,527819.10
2023-03-10,523299.31
2023-03-13,515099.41
2023-03-14,515728.15
2023-03-15,516348.38
2023-03-16,521311.38
2023-03-17,525959.32
2023-03-20,516316.60
2023-03-21,509364.87
2023-03-22,508239.71
2023-03-23,507570.41
2023-03-24,498405.76
2023-03-27,498643.28
2023-03-28,500345.92
2023-03-29,506230.07
2023-03-30,505558.05
2023-03-31,512988.70
2023-04-03,507816.71
2023-04-04,504002.95
2023-04-05,509514.90
2023-04-06,509573.52
2023-04-10,509334.13
2023-04-11,513000.30
2023-04-12,530911.70
2023-04-13,541076.81
2023-04-14,539068.77
2023-04-17,541386.86
2023-04-18,541787.01
2023-04-19,538381.37
2023-04-20,530219.18
2023-04-24,535488.59
2023-04-25,532817.53
2023-04-26,533459.35
2023-04-27,528209.04
2023-04-28,534320.03
2023-05-02,538702.43
2023-05-03,530861.27
2023-05-04,530849.29
2023-05-05,537180.98
2023-05-08,542365.66
2023-05-09,542258.45
2023-05-10,545736.20
2023-05-11,552709.64
2023-05-12,560699.80
2023-05-15,560193.47
2023-05-16,564440.45
2023-05-17,556873.08
2023-05-18,560087.98
2023-05-19,564995.64
2023-05-22,569430.97
2023-05-23,571511.99
2023-05-24,571517.41
2023-05-25,567156.62
2023-05-26,575878.31
2023-05-29,578879.79
2023-05-30,580044.38
2023-05-31,575562.04
2023-06-01,573848.83
2023-06-02,583308.59
