date,equity
2023-01-02,548603.49
2023-01-03,530536.35
2023-01-04,526075.05
2023-01-05,529194.41
2023-01-06,529643.82
2023-01-09,583993.83
2023-01-10,587235.83
2023-01-11,590554.31
2023-01-12,599220.95
2023-01-13,599030.81
2023-01-16,669655.42
2023-01-17,669877.83
2023-01-18,672911.45
2023-01-19,675639.88
2023-01-20,677238.58
2023-01-23,758880.97
2023-01-24,746636.60
2023-01-25,748528.10
2023-01-26,755430.76
2023-01-27,755776.88
2023-01-30,875375.49
2023-01-31,873051.98
2023-02-01,876670.07
2023-02-02,872601.66
2023-02-03,865853.29
2023-02-06,1050296.18
2023-02-07,1051782.99
2023-02-08,1046679.22
2023-02-09,1055038.70
2023-02-10,1042494.44
2023-02-13,1331086.80
2023-02-14,1345763.66
2023-02-15,1334651.92
2023-02-16,1352301.23
2023-02-17,1355249.41
2023-02-22,1344770.60
2023-02-23,1328451.20
2023-02-24,1328238.21
2023-02-27,1619431.94
2023-02-28,1610096.20
2023-03-01,1607655.92
2023-03-02,1601818.70
2023-03-03,1592532.16
2023-03-06,2054486.08
2023-03-07,2072593.98
2023-03-08,2083646.62
2023-03-09,2140820.86
2023-03-10,2136272.72
2023-03-13,2562536.21
2023-03-14,2577120.44
2023-03-15,2576502.38
2023-03-16,2612286.46
2023-03-17,2628666.86
2023-03-20,3545202.66
2023-03-21,3510781.28
2023-03-22,3495360.48
2023-03-23,3487678.10
2023-03-24,3410312.03
2023-03-27,3701178.03
2023-03-28,3706992.46
2023-03-29,3755141.08
2023-03-30,3771993.36
2023-03-31,3778235.89
2023-04-03,4549733.71
2023-04-04,4454371.23
2023-04-05,4481977.58
2023-04-06,4478390.81
2023-04-10,5650851.98
2023-04-11,5698480.29
2023-04-12,5815601.40
2023-04-13,5824945.39
2023-04-14,5815923.59
2023-04-17,8204031.30
2023-04-18,8187150.41
2023-04-19,8168818.10
2023-04-20,8126075.24
2023-04-24,12871044.03
2023-04-25,12768879.81
2023-04-26,12854969.91
2023-04-27,12758008.42
2023-04-28,12950503.99
2023-05-02,13021161.43
2023-05-03,12796760.71
2023-05-04,12839886.29
2023-05-05,12994557.29
2023-05-08,13216109.49
2023-05-09,13332629.49
2023-05-10,13400293.74
2023-05-11,13515643.87
2023-05-12,13669641.13
2023-05-15,13648824.84
2023-05-16,13726924.90
2023-05-17,13700126.90
2023-05-18,13803764.80
2023-05-19,13800348.94
2023-05-22,13895269.00
2023-05-23,13769848.16
2023-05-24,13786706.52
2023-05-25,13724583.46
2023-05-26,14026434.41
2023-05-29,14075697.55
2023-05-30,14105198.53
2023-05-31,13891484.15
2023-06-01,13793400.68
2023-06-02,14023096.36
2023-06-05,14244100.54
2023-06-06,14329803.86
2023-06-07,14418353.61
2023-06-09,14571443.74
2023-06-12,14615170.08
2023-06-13,14664774.68
2023-06-14,14546118.85
2023-06-15,14596261.54
2023-06-16,14637861.38
2023-06-19,14773074.85
2023-06-20,14870881.27
2023-06-21,15023828.85
2023-06-22,15120681.75
2023-06-23,14904757.03
2023-06-26,14917483.69
2023-06-27,14846128.76
2023-06-28,14781825.23
2023-06-29,14759040.78
2023-06-30,14977706.17
2023-07-03,15120748.44
2023-07-04,15351217.27
2023-07-05,15301848.43
2023-07-06,15278786.10
2023-07-07,14934228.33
2023-07-10,15249770.32
2023-07-11,15125422.99
2023-07-12,15046415.31
2023-07-13,15065110.18
2023-07-14,15307491.66
2023-07-17,15161896.27
2023-07-18,15410296.37
2023-07-19,15450805.96
2023-07-20,15351741.99
2023-07-21,15480861.04
2023-07-24,15735097.40
2023-07-25,15586083.63
2023-07-26,15547137.21
2023-07-27,15622583.17
2023-07-28,15482515.53
2023-07-31,15593803.88
2023-08-01,15641306.11
2023-08-02,15601834.63
2023-08-03,15487846.16
2023-08-04,15476032.24
2023-08-07,15271567.87
2023-08-08,15264138.51
2023-08-09,15252831.66
2023-08-10,15216520.00
2023-08-11,15216914.04
2023-08-14,15095799.42
2023-08-15,15146113.25
2023-08-16,14954042.69
2023-08-17,14798132.21
2023-08-18,14601939.64
2023-08-21,14723078.74
2023-08-22,14652648.46
2023-08-23,14899520.16
2023-08-24,15181586.80
2023-08-25,15106149.00
2023-08-28,14973332.71
2023-08-29,15117782.07
2023-08-30,15298453.35
2023-08-31,15186056.52
2023-09-01,15047205.33
2023-09-04,15028768.51
2023-09-05,14900396.68
2023-09-06,14799679.36
2023-09-08,14663109.60
2023-09-11,14583808.20
2023-09-12,14715350.78
2023-09-13,14867804.19
2023-09-14,15122760.21
2023-09-15,15277621.75
2023-09-18,15102220.03
2023-09-19,14979845.98
2023-09-20,14780203.89
2023-09-21,14736145.81
2023-09-22,14596722.39
2023-09-25,14613691.41
2023-09-26,14594383.40
2023-09-27,14404293.03
2023-09-28,14328891.54
2023-09-29,14530793.99
2023-10-02,20593216.15
2023-10-03,20337661.74
2023-10-04,20204487.44
2023-10-05,20392146.17
2023-10-06,20380033.99
2023-10-09,32252454.23
2023-10-10,32134084.89
2023-10-11,32226095.31
2023-10-13,32407881.68
2023-10-16,55745553.32
2023-10-17,55969487.03
2023-10-18,55570511.70
2023-10-19,55134951.37
2023-10-20,55239811.74
2023-10-23,54789745.88
2023-10-24,55058508.55
2023-10-25,55165405.06
2023-10-26,55092402.32
2023-10-27,55778718.78
2023-10-30,55307362.58
2023-10-31,54899059.46
2023-11-01,54608600.67
2023-11-03,54834150.26
2023-11-06,56451769.58
2023-11-07,56512390.89
2023-11-08,57293978.80
2023-11-09,57599022.45
2023-11-10,57432731.10
2023-11-13,57377870.42
2023-11-14,56761120.47
2023-11-16,57457596.59
2023-11-17,58304000.03
2023-11-20,57935559.57
2023-11-21,57973945.59
2023-11-22,57749102.96
2023-11-23,58422757.49
2023-11-24,59180517.09
2023-11-27,82686587.22
2023-11-28,82630511.48
2023-11-29,83468892.33
2023-11-30,83520894.44
2023-12-01,84062043.03
2023-12-04,84520584.67
2023-12-05,84259622.92
2023-12-06,84326754.64
2023-12-07,83508068.28
2023-12-08,83645318.85
2023-12-11,84625204.50
2023-12-12,85143160.41
2023-12-13,84817364.67
2023-12-14,87394886.45
2023-12-15,88814992.26
2023-12-18,88722359.69
2023-12-19,89178026.24
2023-12-20,88856553.58
2023-12-21,87524814.41
2023-12-22,88136673.08
2023-12-26,87505808.14
2023-12-27,87979779.97
2023-12-28,88066404.43
2024-01-02,88197966.27
2024-01-03,86851046.06
2024-01-04,86615518.43
2024-01-05,85365418.98
2024-01-08,86592604.48
2024-01-09,87187774.17
2024-01-10,86020477.76
2024-01-11,85314276.93
2024-01-12,85169930.46
2024-01-15,85412638.02
2024-01-16,85599189.63
2024-01-17,84931395.08
2024-01-18,84348040.46
2024-01-19,84319586.08
2024-01-22,84222119.07
2024-01-23,83351988.21
2024-01-24,83768908.54
2024-01-25,83504660.10
2024-01-26,83119955.76
2024-01-29,83023437.56
2024-01-30,82693942.12
2024-01-31,81949836.53
2024-02-01,82288089.12
2024-02-02,82741029.20
2024-02-05,82519151.61
2024-02-06,82929742.32
2024-02-07,84945576.17
2024-02-08,81166834.89
2024-02-09,80422176.73
2024-02-14,80631069.11
2024-02-15,79822067.89
2024-02-16,79456174.95
2024-02-19,125748895.93
2024-02-20,125935957.53
2024-02-21,126012855.56
2024-02-22,126842232.34
2024-02-23,127032582.26
2024-02-26,125202588.70
2024-02-27,126194573.25
2024-02-28,127921473.41
2024-02-29,127586969.12
2024-03-01,127950969.88
2024-03-04,127046351.88
2024-03-05,126179405.67
2024-03-06,126753820.25
2024-03-07,125980429.73
2024-03-08,125640684.47
2024-03-11,172760488.40
2024-03-12,173091545.85
2024-03-13,174427139.88
2024-03-14,175375959.85
2024-03-15,175586575.22
2024-03-18,267843941.57
2024-03-19,268767645.03
2024-03-20,269160668.12
2024-03-21,273922979.79
2024-03-22,274356382.10
2024-03-25,368224712.46
2024-03-26,369064640.71
2024-03-27,364402562.23
2024-03-28,366669702.45
2024-04-01,367037958.60
2024-04-02,368946557.74
2024-04-03,369620690.03
2024-04-04,369559985.13
2024-04-05,371198933.03
2024-04-08,369268452.34
2024-04-09,371106485.07
2024-04-10,373896913.99
2024-04-11,370239080.03
2024-04-12,369912842.35
2024-04-15,366666372.19
2024-04-16,364076123.47
2024-04-17,360695870.81
2024-04-18,362514978.51
2024-04-19,364675044.80
2024-04-22,365106432.52
2024-04-23,364225575.40
2024-04-24,363418504.14
2024-04-25,360632744.48
2024-04-26,356737982.72
2024-04-29,359001692.17
2024-04-30,360995785.63
2024-05-02,360521448.76
2024-05-03,366052148.42
2024-05-06,370448460.16
2024-05-07,367608073.97
2024-05-08,367052345.62
2024-05-09,367610219.72
2024-05-10,368458649.06
2024-05-13,367817049.97
2024-05-14,367771615.99
2024-05-15,370390159.69
2024-05-16,373161208.62
2024-05-17,373609162.34
2024-05-20,374069270.11
2024-05-21,376866043.66
2024-05-22,379893921.07
2024-05-23,372655219.60
2024-05-24,372746415.50
2024-05-27,374099541.13
2024-05-28,374584405.50
2024-05-29,371744315.44
2024-05-31,368577360.37
2024-06-03,365282487.20
2024-06-04,369577450.19
2024-06-05,369034712.13
2024-06-06,370720803.71
2024-06-07,374339698.68
2024-06-10,368486900.03
2024-06-11,367719043.79
2024-06-12,371322727.53
2024-06-13,366240677.46
2024-06-14,368144218.91
2024-06-17,367542282.02
2024-06-18,367337033.80
2024-06-19,370328718.42
2024-06-20,371927833.22
2024-06-21,373302696.65
2024-06-24,375728356.49
2024-06-25,376340420.05
2024-06-26,375551884.66
2024-06-27,373081992.90
2024-06-28,372658298.26
2024-07-01,371062077.78
2024-07-02,374465851.85
