ticker,price,qty,notional,cash_left
ABEV3.SA,14.1899995803833,3523,49991.36852169037,111.48371505737305
CMIG4.SA,8.39230728149414,5957,49992.974475860596,111.48371505737305
CPLE6.SA,7.637854099273682,6546,49997.39293384552,111.48371505737305
ELET3.SA,40.59000015258789,1231,49966.29018783569,111.48371505737305
EQTL3.SA,26.1590518951416,1911,49989.9481716156,111.48371505737305
ITSA4.SA,7.550830841064453,6621,49994.050998687744,111.48371505737305
ITUB4.SA,22.263635635375977,2245,49981.86200141907,111.48371505737305
RADL3.SA,22.36538314819336,2235,49986.63133621216,111.48371505737305
RAIL3.SA,17.65999984741211,2831,49995.45956802368,111.48371505737305
TIMS3.SA,11.979999542236328,4173,49992.5380897522,111.48371505737305
