date,action,ticker,qty,price,fee_total,cash_delta_date,settlement_date,rule_id_or_reason,notional
2023-07-24,BUY,ELET3.SA,662387.0,38.92,38680.1512,2023-07-24,2023-07-24,WEEKLY_BUY,25780102.040000003
2023-07-24,BUY,GGBR4.SA,1136522.0,22.6833,38680.1595,2023-07-24,2023-07-24,WEEKLY_BUY,25780069.4826
2023-07-25,SELL,ELET3.SA,662387.0,38.87,38630.473,2023-07-27,2023-07-27,HARD_STOP,25746982.689999998
2023-07-25,SELL,GGBR4.SA,1136522.0,23.35,39816.6837,2023-07-27,2023-07-27,HARD_STOP,26537788.700000003
2023-07-25,SELL,LREN3.SA,1544978.0,17.1455,39744.0248,2023-07-27,2023-07-27,HARD_STOP,26489420.299
