date,asof_date,ticker,action,action_expected,triggered_rule,flag_mismatch,rule_thresholds,drawdown_20d,drawdown_60d,var_95,cvar_95,vol_ratio,below_sma_100,below_sma_200,beta,ibov_vol_60d
2023-01-02,2022-12-29,ABEV3.SA,BUY,BUY,WEEKLY_BUY,False,"{""any_of"": [{""metric"": ""drawdown_20d"", ""op"": "">="", ""value"": 0.08}, {""metric"": ""var_95_1d_252d"", ""op"": "">="", ""value"": 0.025}], ""action"": ""REDUCE""}",0.11083891453758243,0.1326164482501785,,,,True,True,,
2023-01-02,2022-12-29,AURE3.SA,BUY,BUY,WEEKLY_BUY,False,,0.021262501291895997,0.021262501291895997,,,,False,False,,
2023-01-02,2022-12-29,B3SA3.SA,BUY,BUY,WEEKLY_BUY,False,"{""any_of"": [{""metric"": ""drawdown_60d"", ""op"": "">="", ""value"": 0.15}, {""metric"": ""cvar_95_1d_252d"", ""op"": "">="", ""value"": 0.04}], ""action"": ""ZERO""}",0.015648288893673867,0.15320514646664285,,,,False,False,,
2023-01-02,2022-12-29,BBAS3.SA,BUY,BUY,WEEKLY_BUY,False,"{""any_of"": [{""metric"": ""drawdown_60d"", ""op"": "">="", ""value"": 0.15}, {""metric"": ""cvar_95_1d_252d"", ""op"": "">="", ""value"": 0.04}], ""action"": ""ZERO""}",0.03608102362211396,0.22269473354920355,,,,True,True,,
2023-01-02,2022-12-29,BBDC4.SA,BUY,BUY,WEEKLY_BUY,False,"{""any_of"": [{""metric"": ""drawdown_60d"", ""op"": "">="", ""value"": 0.15}, {""metric"": ""cvar_95_1d_252d"", ""op"": "">="", ""value"": 0.04}], ""action"": ""ZERO""}",0.01431361539797471,0.29238674794472275,,,,True,True,,
2023-01-02,2022-12-29,BEEF3.SA,BUY,BUY,WEEKLY_BUY,False,,0.0,0.14568226941544482,,,,True,True,,
2023-01-02,2022-12-29,BPAC11.SA,BUY,BUY,WEEKLY_BUY,False,"{""any_of"": [{""metric"": ""drawdown_60d"", ""op"": "">="", ""value"": 0.15}, {""metric"": ""cvar_95_1d_252d"", ""op"": "">="", ""value"": 0.04}], ""action"": ""ZERO""}",0.0648690831384866,0.18633116527263538,,,,True,True,,
2023-01-02,2022-12-29,CMIG4.SA,BUY,BUY,WEEKLY_BUY,False,,0.019366164135091957,0.06070828880608148,,,,True,True,,
2023-01-02,2022-12-29,COGN3.SA,BUY,BUY,WEEKLY_BUY,False,"{""any_of"": [{""metric"": ""drawdown_60d"", ""op"": "">="", ""value"": 0.15}, {""metric"": ""cvar_95_1d_252d"", ""op"": "">="", ""value"": 0.04}], ""action"": ""ZERO""}",0.03636370926848953,0.3595166398163644,,,,True,True,,
2023-01-03,2023-01-02,ABEV3.SA,SELL,ZERO,HARD_STOP,False,"{""any_of"": [{""metric"": ""drawdown_60d"", ""op"": "">="", ""value"": 0.15}, {""metric"": ""cvar_95_1d_252d"", ""op"": "">="", ""value"": 0.04}], ""action"": ""ZERO""}",0.11588783458521168,0.15232976258066777,,,,True,True,,
