date,action,ticker,qty,price,fee_total,cash_delta_date,settlement_date,rule_id_or_reason
2023-01-02,BUY,ABEV3.SA,3442,14.5200,84.9668,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,AURE3.SA,3393,14.7300,84.9683,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,B3SA3.SA,3783,13.2100,84.9601,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BBAS3.SA,2877,17.3650,84.9387,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BBDC4.SA,3297,15.1500,84.9243,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BEEF3.SA,3853,12.9600,84.9023,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BPAC11.SA,2086,23.9300,84.8770,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,CMIG4.SA,5822,8.5692,84.8351,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,COGN3.SA,23518,2.1200,84.7872,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-03,SELL,ABEV3.SA,3442,14.1900,83.2630,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,B3SA3.SA,3783,12.2500,79.5126,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BBAS3.SA,2877,16.6300,81.7668,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BBDC4.SA,3297,14.7500,82.9461,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BEEF3.SA,3853,12.7000,83.3996,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BPAC11.SA,2086,22.3800,80.0270,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,COGN3.SA,23518,2.0500,82.3178,2023-01-05,2023-01-05,HARD_STOP
2023-01-09,BUY,CPLE6.SA,6378,7.5379,82.1149,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ELET3.SA,1172,41.0000,82.0780,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,EQTL3.SA,1879,25.5697,82.0683,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,GGBR4.SA,1996,24.0714,82.0699,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ITSA4.SA,6270,7.6592,82.0349,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ITUB4.SA,2093,22.9364,82.0087,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,LREN3.SA,2721,17.6273,81.9457,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-10,SELL,ELET3.SA,1172,41.3000,82.6054,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,ITSA4.SA,6270,7.7134,82.5446,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,ITUB4.SA,2093,23.1000,82.5225,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,LREN3.SA,2721,17.6727,82.1312,2023-01-12,2023-01-12,HARD_STOP
2023-01-16,BUY,MGLU3.SA,1500,32.0816,82.1836,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,PETR3.SA,1738,27.6900,82.1878,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,PETR4.SA,1958,24.5700,82.1621,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,PRIO3.SA,1231,39.0500,82.1058,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-17,SELL,PETR3.SA,1738,27.0000,80.3890,2023-01-19,2023-01-19,HARD_STOP
2023-01-17,SELL,PETR4.SA,1958,24.0400,80.6055,2023-01-19,2023-01-19,HARD_STOP
2023-01-18,SELL,MGLU3.SA,1500,35.4488,89.7597,2023-01-20,2023-01-20,HARD_STOP
2023-01-23,BUY,ABEV3.SA,3601,13.5300,83.0823,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,B3SA3.SA,3814,12.7700,83.0572,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,BBAS3.SA,2429,20.0350,82.9975,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-24,SELL,ABEV3.SA,3601,13.4200,82.4881,2023-01-26,2023-01-26,HARD_STOP
2023-01-30,BUY,BBDC4.SA,3529,13.7200,82.6268,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-31,SELL,BBDC4.SA,3529,13.7900,82.9974,2023-02-02,2023-02-02,HARD_STOP
2023-02-06,SELL,B3SA3.SA,1907,12.1100,44.6407,2023-02-08,2023-02-08,SOFT_STOP
2023-02-06,BUY,BEEF3.SA,3573,13.5600,82.6748,2023-02-06,2023-02-06,WEEKLY_BUY
2023-02-07,SELL,B3SA3.SA,953,12.1100,27.3112,2023-02-09,2023-02-09,SOFT_STOP
2023-02-07,SELL,BEEF3.SA,3573,13.4800,82.2461,2023-02-09,2023-02-09,HARD_STOP
2023-02-08,SELL,CMIG4.SA,2911,8.4385,46.8465,2023-02-10,2023-02-10,SOFT_STOP
2023-02-08,SELL,CPLE6.SA,3189,7.3679,45.2445,2023-02-10,2023-02-10,SOFT_STOP
2023-02-08,SELL,B3SA3.SA,477,11.8900,18.5073,2023-02-10,2023-02-10,SOFT_STOP
2023-02-09,SELL,B3SA3.SA,238,12.1200,14.3268,2023-02-13,2023-02-13,SOFT_STOP
2023-02-10,SELL,CMIG4.SA,1455,8.3538,28.2323,2023-02-14,2023-02-14,SOFT_STOP
2023-02-10,SELL,CPLE6.SA,1594,7.3479,27.5689,2023-02-14,2023-02-14,SOFT_STOP
2023-02-10,SELL,EQTL3.SA,939,26.1890,46.8872,2023-02-14,2023-02-14,SOFT_STOP
2023-02-10,SELL,GGBR4.SA,998,22.7540,44.0627,2023-02-14,2023-02-14,SOFT_STOP
2023-02-10,SELL,B3SA3.SA,239,11.6500,14.1765,2023-02-14,2023-02-14,HARD_STOP
2023-02-13,SELL,CMIG4.SA,728,8.4308,19.2064,2023-02-15,2023-02-15,SOFT_STOP
2023-02-13,SELL,GGBR4.SA,499,22.4762,26.8234,2023-02-15,2023-02-15,SOFT_STOP
2023-02-13,BUY,ABEV3.SA,4860,12.8600,103.7494,2023-02-13,2023-02-13,WEEKLY_BUY
2023-02-13,BUY,BPAC11.SA,2997,20.8400,103.6862,2023-02-13,2023-02-13,WEEKLY_BUY
2023-02-14,SELL,CMIG4.SA,364,8.4692,14.6242,2023-02-16,2023-02-16,SOFT_STOP
2023-02-14,SELL,GGBR4.SA,249,22.6905,18.4749,2023-02-16,2023-02-16,SOFT_STOP
2023-02-14,SELL,ABEV3.SA,4860,13.1300,105.7177,2023-02-16,2023-02-16,HARD_STOP
2023-02-14,SELL,BPAC11.SA,2997,21.3000,105.7541,2023-02-16,2023-02-16,HARD_STOP
2023-02-15,SELL,CMIG4.SA,182,8.3923,12.2911,2023-02-17,2023-02-17,SOFT_STOP
2023-02-15,SELL,CPLE6.SA,797,7.3279,18.7606,2023-02-17,2023-02-17,SOFT_STOP
2023-02-15,SELL,EQTL3.SA,470,26.3189,28.5548,2023-02-17,2023-02-17,SOFT_STOP
2023-02-15,SELL,GGBR4.SA,125,22.7460,14.2649,2023-02-17,2023-02-17,SOFT_STOP
2023-02-16,SELL,CMIG4.SA,91,8.3846,11.1445,2023-02-22,2023-02-22,SOFT_STOP
2023-02-16,SELL,GGBR4.SA,62,22.6508,12.1065,2023-02-22,2023-02-22,SOFT_STOP
2023-02-17,SELL,CMIG4.SA,45,8.4154,10.5680,2023-02-23,2023-02-23,SOFT_STOP
2023-02-17,SELL,GGBR4.SA,31,22.9048,11.0651,2023-02-23,2023-02-23,SOFT_STOP
2023-02-22,SELL,CMIG4.SA,23,8.4154,10.2903,2023-02-24,2023-02-24,SOFT_STOP
2023-02-22,SELL,GGBR4.SA,16,22.6905,10.5446,2023-02-24,2023-02-24,SOFT_STOP
2023-02-23,SELL,CMIG4.SA,11,8.2154,10.1356,2023-02-27,2023-02-27,SOFT_STOP
2023-02-23,SELL,CPLE6.SA,399,7.2080,14.3140,2023-02-27,2023-02-27,SOFT_STOP
2023-02-23,SELL,EQTL3.SA,235,25.8294,19.1049,2023-02-27,2023-02-27,SOFT_STOP
2023-02-23,SELL,GGBR4.SA,8,22.3413,10.2681,2023-02-27,2023-02-27,SOFT_STOP
2023-02-24,SELL,CMIG4.SA,6,8.2231,10.0740,2023-02-28,2023-02-28,SOFT_STOP
2023-02-24,SELL,CPLE6.SA,399,7.1380,14.2721,2023-02-28,2023-02-28,HARD_STOP
2023-02-24,SELL,EQTL3.SA,117,26.0192,14.5664,2023-02-28,2023-02-28,SOFT_STOP
2023-02-24,SELL,GGBR4.SA,4,22.5794,10.1355,2023-02-28,2023-02-28,SOFT_STOP
2023-02-27,SELL,CMIG4.SA,3,8.1154,10.0365,2023-03-01,2023-03-01,SOFT_STOP
2023-02-27,SELL,EQTL3.SA,59,25.6696,12.2718,2023-03-01,2023-03-01,SOFT_STOP
2023-02-27,SELL,GGBR4.SA,2,22.2619,10.0668,2023-03-01,2023-03-01,SOFT_STOP
2023-02-27,BUY,BBDC4.SA,6108,13.3000,131.8546,2023-02-27,2023-02-27,WEEKLY_BUY
2023-02-27,BUY,BEEF3.SA,7049,11.5200,131.8067,2023-02-27,2023-02-27,WEEKLY_BUY
2023-02-27,BUY,COGN3.SA,38280,2.1200,131.7304,2023-02-27,2023-02-27,WEEKLY_BUY
2023-02-28,SELL,CMIG4.SA,1,8.1154,10.0122,2023-03-02,2023-03-02,SOFT_STOP
2023-02-28,SELL,EQTL3.SA,29,25.4799,11.1084,2023-03-02,2023-03-02,SOFT_STOP
