date,cash
2023-01-02,49795.95
2023-01-03,49795.95
2023-01-04,49795.95
2023-01-05,384711.38
2023-01-06,384711.38
2023-01-09,47950.62
2023-01-10,47950.62
2023-01-11,47950.62
2023-01-12,338730.19
2023-01-13,362827.48
2023-01-16,62371.25
2023-01-17,68644.74
2023-01-18,71763.64
2023-01-19,382448.24
2023-01-20,383213.77
2023-01-23,63724.52
2023-01-24,63907.34
2023-01-25,63987.47
2023-01-26,376264.41
2023-01-27,376269.94
2023-01-30,62513.70
2023-01-31,62513.70
2023-02-01,62513.70
2023-02-02,373942.42
2023-02-03,373942.42
2023-02-06,62153.30
2023-02-07,62153.30
2023-02-08,62153.30
2023-02-09,313226.03
2023-02-10,313223.39
2023-02-13,52033.87
2023-02-14,52033.87
2023-02-15,52033.87
2023-02-16,315242.55
2023-02-17,315242.55
2023-02-22,315242.55
2023-02-23,315242.55
2023-02-24,315242.55
2023-02-27,52378.64
2023-02-28,52378.64
2023-03-01,52378.64
2023-03-02,286598.33
2023-03-03,299572.42
2023-03-06,61041.01
2023-03-07,116704.76
2023-03-08,144561.45
2023-03-09,342075.06
2023-03-10,352027.98
2023-03-13,88314.01
2023-03-14,89351.02
2023-03-15,89836.94
2023-03-16,357132.54
2023-03-17,358629.11
2023-03-20,71688.71
2023-03-21,72045.82
2023-03-22,72220.92
2023-03-23,354272.95
2023-03-24,354272.95
2023-03-27,70646.36
2023-03-28,70646.36
2023-03-29,70646.36
2023-03-30,357265.91
2023-03-31,357265.91
2023-04-03,76145.43
2023-04-04,88463.79
2023-04-05,94664.54
2023-04-06,356591.39
2023-04-10,94184.29
2023-04-11,104740.65
2023-04-12,110014.47
2023-04-13,398067.26
2023-04-14,399424.49
2023-04-17,99766.60
2023-04-18,100113.06
2023-04-19,100273.31
2023-04-20,399939.92
2023-04-24,99730.81
2023-04-25,99743.75
2023-04-26,99741.50
2023-04-27,394040.30
2023-04-28,394040.30
2023-05-02,394040.30
2023-05-03,394040.30
2023-05-04,394040.30
2023-05-05,394040.30
2023-05-08,78583.09
2023-05-09,78583.09
2023-05-10,78587.52
2023-05-11,396211.54
2023-05-12,396211.54
2023-05-15,79033.53
2023-05-16,79033.53
2023-05-17,79033.53
2023-05-18,357563.57
2023-05-19,377356.02
2023-05-22,96512.58
2023-05-23,101366.15
2023-05-24,103813.75
2023-05-25,348715.73
2023-05-26,373726.38
2023-05-29,128481.38
2023-05-30,134757.97
2023-05-31,137859.39
2023-06-01,394904.29
2023-06-02,395666.62
