date,asof_date,ticker,drawdown_20d,drawdown_60d,var_95,cvar_95,vol_ratio,below_sma_100,below_sma_200,beta,triggered_rule,action
2023-01-02,2022-12-29,ABEV3.SA,0.11083891453758243,0.1326164482501785,nan,nan,nan,True,True,,,HOLD
2023-01-02,2022-12-29,AURE3.SA,0.021262501291895997,0.021262501291895997,nan,nan,nan,False,False,,,HOLD
2023-01-02,2022-12-29,B3SA3.SA,0.015648288893673867,0.15320514646664285,nan,nan,nan,False,False,,,HOLD
2023-01-02,2022-12-29,BBAS3.SA,0.03608102362211396,0.22269473354920355,nan,nan,nan,True,True,,,HOLD
2023-01-02,2022-12-29,BBDC4.SA,0.01431361539797471,0.29238674794472275,nan,nan,nan,True,True,,,HOLD
2023-01-02,2022-12-29,BEEF3.SA,0.0,0.14568226941544482,nan,nan,nan,True,True,,,HOLD
2023-01-02,2022-12-29,BPAC11.SA,0.0648690831384866,0.18633116527263538,nan,nan,nan,True,True,,,HOLD
2023-01-02,2022-12-29,CMIG4.SA,0.019366164135091957,0.06070828880608148,nan,nan,nan,True,True,,,HOLD
2023-01-02,2022-12-29,COGN3.SA,0.03636370926848953,0.3595166398163644,nan,nan,nan,True,True,,,HOLD
2023-01-02,2022-12-29,CPLE6.SA,0.014943925900908095,0.0949655532974314,nan,nan,nan,False,False,,,HOLD
2023-01-03,2023-01-02,ABEV3.SA,0.11588783458521168,0.15232976258066777,nan,nan,nan,True,True,,HARD_STOP,ZERO
2023-01-03,2023-01-02,AURE3.SA,0.037873796762437295,0.037873796762437295,nan,nan,nan,False,False,,DEFAULT_HOLD,HOLD
2023-01-03,2023-01-02,B3SA3.SA,0.08718331368423149,0.21474360894561162,nan,nan,nan,True,True,,HARD_STOP,ZERO
2023-01-03,2023-01-02,BBAS3.SA,0.06467949839522047,0.255595387324106,nan,nan,nan,True,True,,HARD_STOP,ZERO
2023-01-03,2023-01-02,BBDC4.SA,0.027044845088313063,0.31106958873785906,nan,nan,nan,True,True,,HARD_STOP,ZERO
2023-01-03,2023-01-02,BEEF3.SA,0.020061745996646674,0.16282137472686375,nan,nan,nan,True,True,,HARD_STOP,ZERO
