date,action,ticker,qty,price,fee_total,cash_delta_date,settlement_date,rule_id_or_reason
2023-01-02,BUY,ABEV3.SA,3442,14.5200,84.9668,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,AURE3.SA,3393,14.7300,84.9683,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,B3SA3.SA,3783,13.2100,84.9601,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BBAS3.SA,2877,17.3650,84.9387,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BBDC4.SA,3297,15.1500,84.9243,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BEEF3.SA,3853,12.9600,84.9023,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BPAC11.SA,2086,23.9300,84.8770,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,CMIG4.SA,5822,8.5692,84.8351,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,COGN3.SA,23518,2.1200,84.7872,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-03,SELL,B3SA3.SA,3783,12.2500,79.5126,2023-01-05,2023-01-05,TICKER_HARD_STOP
2023-01-03,SELL,BBAS3.SA,2877,16.6300,81.7668,2023-01-05,2023-01-05,TICKER_HARD_STOP
2023-01-03,SELL,BBDC4.SA,3297,14.7500,82.9461,2023-01-05,2023-01-05,TICKER_HARD_STOP
2023-01-03,SELL,BPAC11.SA,2086,22.3800,80.0270,2023-01-05,2023-01-05,TICKER_HARD_STOP
2023-01-03,SELL,COGN3.SA,23518,2.0500,82.3178,2023-01-05,2023-01-05,TICKER_HARD_STOP
2023-01-04,SELL,BEEF3.SA,3853,12.3400,81.3190,2023-01-06,2023-01-06,TICKER_HARD_STOP
2023-01-09,BUY,CPLE6.SA,6339,7.5379,81.6739,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ELET3.SA,1165,41.0000,81.6475,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,EQTL3.SA,1867,25.5697,81.6081,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,GGBR4.SA,1983,24.0714,81.6005,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ITSA4.SA,6231,7.6592,81.5869,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ITUB4.SA,2079,22.9364,81.5270,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-10,SELL,ELET3.SA,1165,41.3000,82.1717,2023-01-12,2023-01-12,TICKER_HARD_STOP
2023-01-10,SELL,ITUB4.SA,2079,23.1000,82.0374,2023-01-12,2023-01-12,TICKER_HARD_STOP
2023-01-16,BUY,LREN3.SA,2614,18.3091,81.7899,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,MGLU3.SA,1490,32.0816,81.7024,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-17,SELL,ABEV3.SA,3442,13.2000,78.1516,2023-01-19,2023-01-19,TICKER_HARD_STOP
2023-01-17,SELL,LREN3.SA,2614,17.9364,80.3285,2023-01-19,2023-01-19,TICKER_HARD_STOP
2023-01-17,SELL,MGLU3.SA,1490,36.0099,90.4822,2023-01-19,2023-01-19,TICKER_HARD_STOP
2023-01-23,BUY,B3SA3.SA,3787,12.7700,82.5400,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,BBAS3.SA,2413,20.0350,82.5167,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,BBDC4.SA,3293,14.6700,82.4625,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-24,SELL,B3SA3.SA,3787,12.6500,81.8583,2023-01-26,2023-01-26,TICKER_HARD_STOP
2023-01-24,SELL,BBDC4.SA,3293,14.0500,79.4000,2023-01-26,2023-01-26,TICKER_HARD_STOP
2023-01-30,BUY,BEEF3.SA,3272,14.4900,81.1169,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-30,BUY,BPAC11.SA,2227,21.2700,81.0524,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-31,SELL,BPAC11.SA,2227,21.1000,80.4846,2023-02-02,2023-02-02,TICKER_HARD_STOP
2023-02-06,BUY,ABEV3.SA,3629,12.9800,80.6566,2023-02-06,2023-02-06,WEEKLY_BUY
2023-02-07,SELL,ABEV3.SA,3629,13.0200,80.8744,2023-02-09,2023-02-09,TICKER_HARD_STOP
2023-02-13,BUY,B3SA3.SA,3991,11.8000,80.6407,2023-02-13,2023-02-13,WEEKLY_BUY
2023-02-15,SELL,BEEF3.SA,3272,12.7000,72.3316,2023-02-17,2023-02-17,TICKER_HARD_STOP
2023-02-23,SELL,B3SA3.SA,3991,10.8500,74.9535,2023-02-27,2023-02-27,TICKER_HARD_STOP
2023-02-27,BUY,ABEV3.SA,3296,13.3200,75.8541,2023-02-27,2023-02-27,WEEKLY_BUY
2023-02-27,BUY,BBDC4.SA,3299,13.3000,75.8151,2023-02-27,2023-02-27,WEEKLY_BUY
2023-02-28,SELL,AURE3.SA,678,14.8700,25.1228,2023-03-02,2023-03-02,PORTFOLIO_SOFT_STOP
2023-02-28,SELL,CMIG4.SA,1164,8.1154,24.1695,2023-03-02,2023-03-02,PORTFOLIO_SOFT_STOP
2023-02-28,SELL,CPLE6.SA,1267,7.1180,23.5278,2023-03-02,2023-03-02,PORTFOLIO_SOFT_STOP
2023-02-28,SELL,EQTL3.SA,373,25.4799,24.2560,2023-03-02,2023-03-02,PORTFOLIO_SOFT_STOP
2023-02-28,SELL,GGBR4.SA,396,22.3810,23.2943,2023-03-02,2023-03-02,PORTFOLIO_SOFT_STOP
2023-02-28,SELL,ITSA4.SA,1246,7.4515,23.9268,2023-03-02,2023-03-02,PORTFOLIO_SOFT_STOP
2023-02-28,SELL,BBAS3.SA,482,19.9650,24.4347,2023-03-02,2023-03-02,PORTFOLIO_SOFT_STOP
2023-02-28,SELL,ABEV3.SA,659,13.4000,23.2459,2023-03-02,2023-03-02,PORTFOLIO_SOFT_STOP
2023-02-28,SELL,BBDC4.SA,659,13.1700,23.0185,2023-03-02,2023-03-02,PORTFOLIO_SOFT_STOP
2023-03-01,SELL,AURE3.SA,543,14.8000,22.0546,2023-03-03,2023-03-03,PORTFOLIO_SOFT_STOP
2023-03-01,SELL,CMIG4.SA,931,8.0615,21.2579,2023-03-03,2023-03-03,PORTFOLIO_SOFT_STOP
2023-03-01,SELL,CPLE6.SA,1014,7.0480,20.7200,2023-03-03,2023-03-03,PORTFOLIO_SOFT_STOP
2023-03-01,SELL,EQTL3.SA,298,25.3999,21.3538,2023-03-03,2023-03-03,PORTFOLIO_SOFT_STOP
2023-03-01,SELL,GGBR4.SA,317,22.7222,20.8044,2023-03-03,2023-03-03,PORTFOLIO_SOFT_STOP
2023-03-01,SELL,ITSA4.SA,997,7.4334,21.1167,2023-03-03,2023-03-03,PORTFOLIO_SOFT_STOP
2023-03-01,SELL,BBAS3.SA,386,20.1500,21.6668,2023-03-03,2023-03-03,PORTFOLIO_SOFT_STOP
2023-03-01,SELL,ABEV3.SA,527,13.3900,20.5848,2023-03-03,2023-03-03,PORTFOLIO_SOFT_STOP
2023-03-01,SELL,BBDC4.SA,528,13.0800,20.3594,2023-03-03,2023-03-03,PORTFOLIO_SOFT_STOP
2023-03-02,SELL,AURE3.SA,434,14.7200,19.5827,2023-03-06,2023-03-06,PORTFOLIO_SOFT_STOP
2023-03-02,SELL,CMIG4.SA,745,8.0308,18.9744,2023-03-06,2023-03-06,PORTFOLIO_SOFT_STOP
2023-03-02,SELL,CPLE6.SA,811,7.0080,18.5253,2023-03-06,2023-03-06,PORTFOLIO_SOFT_STOP
2023-03-02,SELL,EQTL3.SA,239,24.8606,18.9125,2023-03-06,2023-03-06,PORTFOLIO_SOFT_STOP
2023-03-02,SELL,GGBR4.SA,254,23.4286,18.9263,2023-03-06,2023-03-06,PORTFOLIO_SOFT_STOP
2023-03-02,SELL,ITSA4.SA,797,7.3612,18.8003,2023-03-06,2023-03-06,PORTFOLIO_SOFT_STOP
2023-03-02,SELL,BBAS3.SA,309,19.5000,19.0382,2023-03-06,2023-03-06,PORTFOLIO_SOFT_STOP
2023-03-02,SELL,ABEV3.SA,422,13.4700,18.5265,2023-03-06,2023-03-06,PORTFOLIO_SOFT_STOP
2023-03-02,SELL,BBDC4.SA,422,12.9800,18.2163,2023-03-06,2023-03-06,PORTFOLIO_SOFT_STOP
2023-03-03,SELL,AURE3.SA,347,14.7300,17.6670,2023-03-07,2023-03-07,PORTFOLIO_SOFT_STOP
2023-03-03,SELL,CMIG4.SA,596,7.9615,17.1176,2023-03-07,2023-03-07,PORTFOLIO_SOFT_STOP
2023-03-03,SELL,CPLE6.SA,649,6.9680,16.7834,2023-03-07,2023-03-07,PORTFOLIO_SOFT_STOP
2023-03-03,SELL,EQTL3.SA,191,24.9105,17.1369,2023-03-07,2023-03-07,PORTFOLIO_SOFT_STOP
2023-03-03,SELL,GGBR4.SA,203,23.4683,17.1461,2023-03-07,2023-03-07,PORTFOLIO_SOFT_STOP
2023-03-03,SELL,ITSA4.SA,638,7.1986,16.8890,2023-03-07,2023-03-07,PORTFOLIO_SOFT_STOP
2023-03-03,SELL,BBAS3.SA,247,18.7150,16.9339,2023-03-07,2023-03-07,PORTFOLIO_SOFT_STOP
2023-03-03,SELL,ABEV3.SA,337,13.1300,16.6372,2023-03-07,2023-03-07,PORTFOLIO_SOFT_STOP
2023-03-03,SELL,BBDC4.SA,338,12.7900,16.4845,2023-03-07,2023-03-07,PORTFOLIO_SOFT_STOP
2023-03-06,SELL,AURE3.SA,278,14.7300,16.1424,2023-03-08,2023-03-08,PORTFOLIO_SOFT_STOP
