DOC_AUDIT_MARKET_PRICES_V1 - S2_PRICES_INVENTORY_FILESYSTEM

N_FILES 122
FILE, TICKER, SIZE, MTIME, NAME_OK
('PETR4_SA.parquet', 'PETR4_SA', 25252, 1764706861, True)
('PETZ3_SA.parquet', 'PETZ3_SA', 22611, 1764706888, True)
('PFIZ34_SA.parquet', 'PFIZ34_SA', 23580, 1764706955, True)
('POSI3_SA.parquet', 'POSI3_SA', 22237, 1764706918, True)
('PRIO3_SA.parquet', 'PRIO3_SA', 24972, 1764706930, True)
('PYPL34_SA.parquet', 'PYPL34_SA', 23513, 1764706949, True)
('QUAL3_SA.parquet', 'QUAL3_SA', 22047, 1764706899, True)
('RADL3_SA.parquet', 'RADL3_SA', 24466, 1764706898, True)
('RAIL3_SA.parquet', 'RAIL3_SA', 23447, 1764706925, True)
('RAIZ4_SA.parquet', 'RAIZ4_SA', 21439, 1764706928, True)
('RAPT4_SA.parquet', 'RAPT4_SA', 22237, 1764706913, True)
('RDOR3_SA.parquet', 'RDOR3_SA', 24580, 1764706896, True)
('RENT3_SA.parquet', 'RENT3_SA', 26174, 1764706904, True)
('SANB11_SA.parquet', 'SANB11_SA', 23328, 1764706853, True)
('SAPR11_SA.parquet', 'SAPR11_SA', 23627, 1764706933, True)
('SBSP3_SA.parquet', 'SBSP3_SA', 25017, 1764706909, True)
('SBUB34_SA.parquet', 'SBUB34_SA', 23644, 1764706952, True)
('SEER3_SA.parquet', 'SEER3_SA', 22154, 1764706895, True)
('SLCE3_SA.parquet', 'SLCE3_SA', 23820, 1764706932, True)
('SMTO3_SA.parquet', 'SMTO3_SA', 24622, 1764706931, True)
('SUZB3_SA.parquet', 'SUZB3_SA', 24709, 1764706866, True)
('TAEE11_SA.parquet', 'TAEE11_SA', 22776, 1764706875, True)
('TEND3_SA.parquet', 'TEND3_SA', 25165, 1764706908, True)
('TIMS3_SA.parquet', 'TIMS3_SA', 23139, 1764706915, True)
('TOTS3_SA.parquet', 'TOTS3_SA', 24162, 1764706916, True)
('TSLA34_SA.parquet', 'TSLA34_SA', 25365, 1764706939, True)
('TUPY3_SA.parquet', 'TUPY3_SA', 23659, 1764706913, True)
('UGPA3_SA.parquet', 'UGPA3_SA', 23804, 1764706926, True)
('UNIP6_SA.parquet', 'UNIP6_SA', 25487, 1764706871, True)
