date,cash
2023-01-02,49795.95
2023-01-03,49795.95
2023-01-04,49795.95
2023-01-05,384711.38
2023-01-06,384711.38
2023-01-09,47923.42
2023-01-10,47923.42
2023-01-11,47923.42
2023-01-12,240796.08
2023-01-13,240796.08
2023-01-16,48041.23
2023-01-17,48041.23
2023-01-18,48041.23
2023-01-19,141876.56
2023-01-20,194959.93
2023-01-23,48619.46
2023-01-24,48619.46
2023-01-25,48619.46
2023-01-26,96862.40
2023-01-27,96862.40
2023-01-30,48361.89
2023-01-31,48361.89
2023-02-01,48361.89
2023-02-02,96943.80
2023-02-03,96943.80
2023-02-06,48411.24
2023-02-07,48411.24
2023-02-08,71460.37
2023-02-09,131055.68
2023-02-10,184677.31
2023-02-13,62383.02
2023-02-14,136173.85
2023-02-15,153481.03
2023-02-16,289617.09
2023-02-17,312124.11
2023-02-22,314268.21
2023-02-23,315335.31
2023-02-24,315871.08
2023-02-27,81042.38
2023-02-28,87025.30
2023-03-01,88576.30
2023-03-02,329025.67
2023-03-03,350078.56
2023-03-06,71886.27
2023-03-07,99863.69
2023-03-08,102560.37
2023-03-09,398936.29
2023-03-10,399563.55
2023-03-13,66447.68
2023-03-14,66604.58
2023-03-15,66672.29
2023-03-16,267057.72
2023-03-17,316185.73
2023-03-20,53911.04
2023-03-21,58041.31
2023-03-22,82674.40
2023-03-23,240935.58
2023-03-24,267297.95
2023-03-27,34962.32
2023-03-28,108203.49
2023-03-29,108203.49
2023-03-30,285256.92
2023-03-31,285256.92
2023-04-03,47392.00
2023-04-04,47392.00
2023-04-05,47392.00
2023-04-06,116049.48
2023-04-10,57942.91
2023-04-11,57942.91
2023-04-12,57942.91
2023-04-13,116522.25
2023-04-14,116522.25
2023-04-17,58178.86
2023-04-18,58178.86
2023-04-19,58178.86
2023-04-20,58178.86
2023-04-24,58178.86
2023-04-25,71183.31
2023-04-26,77623.62
2023-04-27,77623.62
2023-04-28,77623.62
2023-05-02,135441.73
2023-05-03,137044.03
2023-05-04,137044.03
2023-05-05,137837.30
2023-05-08,45977.86
2023-05-09,46359.67
2023-05-10,70820.11
2023-05-11,129600.29
2023-05-12,141373.69
2023-05-15,47020.61
2023-05-16,47020.61
2023-05-17,47020.61
2023-05-18,47020.61
2023-05-19,47020.61
2023-05-22,47020.61
2023-05-23,47020.61
2023-05-24,47020.61
2023-05-25,47020.61
2023-05-26,47020.61
2023-05-29,47020.61
2023-05-30,47020.61
2023-05-31,47020.61
2023-06-01,47020.61
2023-06-02,47020.61
