date,ticker,qty
2023-01-02,ABEV3.SA,3442
2023-01-02,AURE3.SA,3393
2023-01-02,B3SA3.SA,3783
2023-01-02,BBAS3.SA,2877
2023-01-02,BBDC4.SA,3297
2023-01-02,BEEF3.SA,3853
2023-01-02,BPAC11.SA,2086
2023-01-02,CMIG4.SA,5822
2023-01-02,COGN3.SA,23518
2023-01-03,AURE3.SA,3393
2023-01-03,CMIG4.SA,5822
2023-01-04,AURE3.SA,3393
2023-01-04,CMIG4.SA,5822
2023-01-05,AURE3.SA,3393
2023-01-05,CMIG4.SA,5822
2023-01-06,AURE3.SA,3393
2023-01-06,CMIG4.SA,5822
2023-01-09,AURE3.SA,3393
2023-01-09,CMIG4.SA,5822
2023-01-09,CPLE6.SA,6378
2023-01-09,ELET3.SA,1172
2023-01-09,EQTL3.SA,1879
2023-01-09,GGBR4.SA,1996
2023-01-09,ITSA4.SA,6270
2023-01-09,ITUB4.SA,2093
2023-01-09,LREN3.SA,2721
2023-01-10,AURE3.SA,3393
2023-01-10,CMIG4.SA,5822
2023-01-10,CPLE6.SA,6378
2023-01-10,EQTL3.SA,1879
2023-01-10,GGBR4.SA,1996
2023-01-11,AURE3.SA,3393
2023-01-11,CMIG4.SA,5822
2023-01-11,CPLE6.SA,6378
2023-01-11,EQTL3.SA,1879
2023-01-11,GGBR4.SA,1996
2023-01-12,AURE3.SA,3393
2023-01-12,CMIG4.SA,5822
2023-01-12,CPLE6.SA,6378
2023-01-12,EQTL3.SA,1879
2023-01-12,GGBR4.SA,1996
2023-01-13,AURE3.SA,3393
2023-01-13,CMIG4.SA,5822
2023-01-13,CPLE6.SA,6378
2023-01-13,EQTL3.SA,1879
2023-01-13,GGBR4.SA,1996
2023-01-16,AURE3.SA,3393
2023-01-16,CMIG4.SA,5822
2023-01-16,CPLE6.SA,6378
2023-01-16,EQTL3.SA,1879
2023-01-16,GGBR4.SA,1996
2023-01-16,MGLU3.SA,1500
2023-01-16,PETR3.SA,1738
2023-01-16,PETR4.SA,1958
2023-01-16,PRIO3.SA,1231
2023-01-17,AURE3.SA,3393
2023-01-17,CMIG4.SA,5822
2023-01-17,CPLE6.SA,6378
2023-01-17,EQTL3.SA,1879
2023-01-17,GGBR4.SA,1996
2023-01-17,MGLU3.SA,1500
2023-01-17,PRIO3.SA,1231
2023-01-18,AURE3.SA,3393
2023-01-18,CMIG4.SA,5822
2023-01-18,CPLE6.SA,6378
2023-01-18,EQTL3.SA,1879
2023-01-18,GGBR4.SA,1996
2023-01-18,PRIO3.SA,1231
2023-01-19,AURE3.SA,3393
2023-01-19,CMIG4.SA,5822
2023-01-19,CPLE6.SA,6378
2023-01-19,EQTL3.SA,1879
2023-01-19,GGBR4.SA,1996
2023-01-19,PRIO3.SA,1231
2023-01-20,AURE3.SA,3393
2023-01-20,CMIG4.SA,5822
2023-01-20,CPLE6.SA,6378
2023-01-20,EQTL3.SA,1879
2023-01-20,GGBR4.SA,1996
2023-01-20,PRIO3.SA,1231
2023-01-23,AURE3.SA,3393
2023-01-23,CMIG4.SA,5822
2023-01-23,CPLE6.SA,6378
2023-01-23,EQTL3.SA,1879
2023-01-23,GGBR4.SA,1996
2023-01-23,PRIO3.SA,1231
2023-01-23,ABEV3.SA,3601
2023-01-23,B3SA3.SA,3814
2023-01-23,BBAS3.SA,2429
2023-01-24,AURE3.SA,3393
2023-01-24,CMIG4.SA,5822
2023-01-24,CPLE6.SA,6378
2023-01-24,EQTL3.SA,1879
2023-01-24,GGBR4.SA,1996
2023-01-24,PRIO3.SA,1231
2023-01-24,B3SA3.SA,3814
2023-01-24,BBAS3.SA,2429
2023-01-25,AURE3.SA,3393
2023-01-25,CMIG4.SA,5822
2023-01-25,CPLE6.SA,6378
2023-01-25,EQTL3.SA,1879
2023-01-25,GGBR4.SA,1996
2023-01-25,PRIO3.SA,1231
2023-01-25,B3SA3.SA,3814
2023-01-25,BBAS3.SA,2429
2023-01-26,AURE3.SA,3393
2023-01-26,CMIG4.SA,5822
2023-01-26,CPLE6.SA,6378
2023-01-26,EQTL3.SA,1879
2023-01-26,GGBR4.SA,1996
2023-01-26,PRIO3.SA,1231
2023-01-26,B3SA3.SA,3814
2023-01-26,BBAS3.SA,2429
2023-01-27,AURE3.SA,3393
2023-01-27,CMIG4.SA,5822
2023-01-27,CPLE6.SA,6378
2023-01-27,EQTL3.SA,1879
2023-01-27,GGBR4.SA,1996
2023-01-27,PRIO3.SA,1231
2023-01-27,B3SA3.SA,3814
2023-01-27,BBAS3.SA,2429
2023-01-30,AURE3.SA,3393
2023-01-30,CMIG4.SA,5822
2023-01-30,CPLE6.SA,6378
2023-01-30,EQTL3.SA,1879
2023-01-30,GGBR4.SA,1996
2023-01-30,PRIO3.SA,1231
2023-01-30,B3SA3.SA,3814
2023-01-30,BBAS3.SA,2429
2023-01-30,BBDC4.SA,3529
2023-01-31,AURE3.SA,3393
2023-01-31,CMIG4.SA,5822
2023-01-31,CPLE6.SA,6378
2023-01-31,EQTL3.SA,1879
2023-01-31,GGBR4.SA,1996
2023-01-31,PRIO3.SA,1231
2023-01-31,B3SA3.SA,3814
2023-01-31,BBAS3.SA,2429
2023-02-01,AURE3.SA,3393
2023-02-01,CMIG4.SA,5822
2023-02-01,CPLE6.SA,6378
2023-02-01,EQTL3.SA,1879
2023-02-01,GGBR4.SA,1996
2023-02-01,PRIO3.SA,1231
2023-02-01,B3SA3.SA,3814
2023-02-01,BBAS3.SA,2429
2023-02-02,AURE3.SA,3393
2023-02-02,CMIG4.SA,5822
2023-02-02,CPLE6.SA,6378
2023-02-02,EQTL3.SA,1879
2023-02-02,GGBR4.SA,1996
2023-02-02,PRIO3.SA,1231
2023-02-02,B3SA3.SA,3814
2023-02-02,BBAS3.SA,2429
2023-02-03,AURE3.SA,3393
2023-02-03,CMIG4.SA,5822
2023-02-03,CPLE6.SA,6378
2023-02-03,EQTL3.SA,1879
2023-02-03,GGBR4.SA,1996
2023-02-03,PRIO3.SA,1231
2023-02-03,B3SA3.SA,3814
2023-02-03,BBAS3.SA,2429
2023-02-06,AURE3.SA,3393
2023-02-06,CMIG4.SA,5822
2023-02-06,CPLE6.SA,6378
2023-02-06,EQTL3.SA,1879
2023-02-06,GGBR4.SA,1996
2023-02-06,PRIO3.SA,1231
2023-02-06,B3SA3.SA,1907
2023-02-06,BBAS3.SA,2429
2023-02-06,BEEF3.SA,3573
2023-02-07,AURE3.SA,3393
2023-02-07,CMIG4.SA,5822
2023-02-07,CPLE6.SA,6378
2023-02-07,EQTL3.SA,1879
2023-02-07,GGBR4.SA,1996
2023-02-07,PRIO3.SA,1231
2023-02-07,B3SA3.SA,954
2023-02-07,BBAS3.SA,2429
2023-02-08,AURE3.SA,3393
2023-02-08,CMIG4.SA,2911
2023-02-08,CPLE6.SA,3189
2023-02-08,EQTL3.SA,1879
2023-02-08,GGBR4.SA,1996
2023-02-08,PRIO3.SA,1231
2023-02-08,B3SA3.SA,477
2023-02-08,BBAS3.SA,2429
2023-02-09,AURE3.SA,3393
2023-02-09,CMIG4.SA,2911
2023-02-09,CPLE6.SA,3189
2023-02-09,EQTL3.SA,1879
2023-02-09,GGBR4.SA,1996
2023-02-09,PRIO3.SA,1231
2023-02-09,B3SA3.SA,239
2023-02-09,BBAS3.SA,2429
2023-02-10,AURE3.SA,3393
2023-02-10,CMIG4.SA,1456
2023-02-10,CPLE6.SA,1595
2023-02-10,EQTL3.SA,940
2023-02-10,GGBR4.SA,998
2023-02-10,PRIO3.SA,1231
2023-02-10,BBAS3.SA,2429
2023-02-13,AURE3.SA,3393
2023-02-13,CMIG4.SA,728
2023-02-13,CPLE6.SA,1595
2023-02-13,EQTL3.SA,940
2023-02-13,GGBR4.SA,499
2023-02-13,PRIO3.SA,1231
2023-02-13,BBAS3.SA,2429
2023-02-13,ABEV3.SA,4860
2023-02-13,BPAC11.SA,2997
2023-02-14,AURE3.SA,3393
2023-02-14,CMIG4.SA,364
2023-02-14,CPLE6.SA,1595
2023-02-14,EQTL3.SA,940
2023-02-14,GGBR4.SA,250
2023-02-14,PRIO3.SA,1231
2023-02-14,BBAS3.SA,2429
2023-02-15,AURE3.SA,3393
2023-02-15,CMIG4.SA,182
2023-02-15,CPLE6.SA,798
2023-02-15,EQTL3.SA,470
2023-02-15,GGBR4.SA,125
2023-02-15,PRIO3.SA,1231
2023-02-15,BBAS3.SA,2429
2023-02-16,AURE3.SA,3393
2023-02-16,CMIG4.SA,91
2023-02-16,CPLE6.SA,798
2023-02-16,EQTL3.SA,470
2023-02-16,GGBR4.SA,63
2023-02-16,PRIO3.SA,1231
2023-02-16,BBAS3.SA,2429
2023-02-17,AURE3.SA,3393
2023-02-17,CMIG4.SA,46
2023-02-17,CPLE6.SA,798
2023-02-17,EQTL3.SA,470
2023-02-17,GGBR4.SA,32
2023-02-17,PRIO3.SA,1231
2023-02-17,BBAS3.SA,2429
2023-02-22,AURE3.SA,3393
2023-02-22,CMIG4.SA,23
2023-02-22,CPLE6.SA,798
2023-02-22,EQTL3.SA,470
2023-02-22,GGBR4.SA,16
2023-02-22,PRIO3.SA,1231
2023-02-22,BBAS3.SA,2429
2023-02-23,AURE3.SA,3393
2023-02-23,CMIG4.SA,12
2023-02-23,CPLE6.SA,399
2023-02-23,EQTL3.SA,235
2023-02-23,GGBR4.SA,8
2023-02-23,PRIO3.SA,1231
2023-02-23,BBAS3.SA,2429
2023-02-24,AURE3.SA,3393
2023-02-24,CMIG4.SA,6
2023-02-24,EQTL3.SA,118
2023-02-24,GGBR4.SA,4
2023-02-24,PRIO3.SA,1231
2023-02-24,BBAS3.SA,2429
2023-02-27,AURE3.SA,3393
2023-02-27,CMIG4.SA,3
2023-02-27,EQTL3.SA,59
2023-02-27,GGBR4.SA,2
2023-02-27,PRIO3.SA,1231
2023-02-27,BBAS3.SA,2429
2023-02-27,BBDC4.SA,6108
2023-02-27,BEEF3.SA,7049
2023-02-27,COGN3.SA,38280
2023-02-28,AURE3.SA,3393
2023-02-28,CMIG4.SA,2
2023-02-28,EQTL3.SA,30
2023-02-28,GGBR4.SA,1
2023-02-28,PRIO3.SA,1231
2023-02-28,BBAS3.SA,2429
2023-03-01,AURE3.SA,3393
2023-03-01,CMIG4.SA,1
2023-03-01,EQTL3.SA,15
2023-03-01,GGBR4.SA,1
2023-03-01,PRIO3.SA,616
2023-03-01,BBAS3.SA,2429
2023-03-02,AURE3.SA,3393
2023-03-02,CMIG4.SA,1
2023-03-02,EQTL3.SA,8
2023-03-02,GGBR4.SA,1
2023-03-02,PRIO3.SA,308
2023-03-02,BBAS3.SA,2429
2023-03-03,AURE3.SA,3393
2023-03-03,CMIG4.SA,1
2023-03-03,EQTL3.SA,4
2023-03-03,GGBR4.SA,1
2023-03-03,PRIO3.SA,154
2023-03-03,BBAS3.SA,1215
2023-03-06,AURE3.SA,3393
2023-03-06,EQTL3.SA,2
2023-03-06,GGBR4.SA,1
2023-03-06,PRIO3.SA,77
2023-03-06,BBAS3.SA,1215
2023-03-06,ABEV3.SA,5498
2023-03-06,B3SA3.SA,6850
2023-03-06,BPAC11.SA,3728
2023-03-06,ELET3.SA,2197
2023-03-07,AURE3.SA,3393
2023-03-07,EQTL3.SA,1
2023-03-07,GGBR4.SA,1
2023-03-07,PRIO3.SA,39
2023-03-07,BBAS3.SA,1215
2023-03-08,AURE3.SA,3393
2023-03-08,EQTL3.SA,1
2023-03-08,GGBR4.SA,1
2023-03-08,PRIO3.SA,20
2023-03-08,BBAS3.SA,1215
2023-03-09,AURE3.SA,3393
2023-03-09,EQTL3.SA,1
2023-03-09,GGBR4.SA,1
2023-03-09,PRIO3.SA,10
2023-03-09,BBAS3.SA,1215
2023-03-10,AURE3.SA,3393
2023-03-10,EQTL3.SA,1
2023-03-10,GGBR4.SA,1
2023-03-10,PRIO3.SA,5
2023-03-10,BBAS3.SA,1215
2023-03-13,AURE3.SA,3393
2023-03-13,EQTL3.SA,1
2023-03-13,PRIO3.SA,3
2023-03-13,BBAS3.SA,1215
2023-03-13,CPLE6.SA,9889
2023-03-13,ITSA4.SA,9140
2023-03-13,ITUB4.SA,3043
2023-03-13,LREN3.SA,3868
2023-03-13,MGLU3.SA,2091
2023-03-14,AURE3.SA,3393
2023-03-14,EQTL3.SA,1
2023-03-14,PRIO3.SA,2
2023-03-14,BBAS3.SA,1215
2023-03-14,ITSA4.SA,4570
2023-03-14,ITUB4.SA,1522
2023-03-14,MGLU3.SA,2091
2023-03-15,AURE3.SA,3393
2023-03-15,EQTL3.SA,1
2023-03-15,PRIO3.SA,1
2023-03-15,BBAS3.SA,1215
2023-03-15,ITSA4.SA,2285
2023-03-15,MGLU3.SA,2091
2023-03-16,AURE3.SA,3393
2023-03-16,EQTL3.SA,1
2023-03-16,BBAS3.SA,1215
2023-03-16,ITSA4.SA,1143
2023-03-16,MGLU3.SA,2091
2023-03-17,AURE3.SA,3393
2023-03-17,EQTL3.SA,1
2023-03-17,BBAS3.SA,1215
2023-03-17,ITSA4.SA,572
2023-03-17,MGLU3.SA,2091
2023-03-20,AURE3.SA,3393
2023-03-20,EQTL3.SA,1
2023-03-20,ITSA4.SA,286
2023-03-20,MGLU3.SA,2091
2023-03-20,BBDC4.SA,4055
2023-03-20,BEEF3.SA,4619
2023-03-20,CMIG4.SA,6676
2023-03-20,COGN3.SA,24214
2023-03-20,PETR3.SA,2046
2023-03-21,AURE3.SA,3393
2023-03-21,EQTL3.SA,1
2023-03-21,ITSA4.SA,143
2023-03-21,MGLU3.SA,2091
2023-03-21,CMIG4.SA,6676
2023-03-21,COGN3.SA,24214
2023-03-22,AURE3.SA,3393
2023-03-22,EQTL3.SA,1
2023-03-22,ITSA4.SA,72
2023-03-22,MGLU3.SA,2091
2023-03-22,CMIG4.SA,6676
2023-03-22,COGN3.SA,12107
2023-03-23,AURE3.SA,3393
2023-03-23,EQTL3.SA,1
2023-03-23,ITSA4.SA,36
2023-03-23,MGLU3.SA,2091
2023-03-23,CMIG4.SA,6676
2023-03-23,COGN3.SA,6054
2023-03-24,AURE3.SA,3393
2023-03-24,CMIG4.SA,6676
2023-03-27,AURE3.SA,3393
2023-03-27,CMIG4.SA,6676
