date,equity
2023-01-02,499235.84
2023-01-03,482702.03
2023-01-04,480655.46
2023-01-05,482187.69
2023-01-06,482873.05
2023-01-09,482332.66
2023-01-10,484792.77
2023-01-11,486155.24
2023-01-12,494831.11
2023-01-13,495791.93
2023-01-16,493597.27
2023-01-17,495671.30
2023-01-18,496396.48
2023-01-19,498504.84
2023-01-20,501941.69
2023-01-23,498942.85
2023-01-24,495795.92
2023-01-25,498144.14
2023-01-26,505069.84
2023-01-27,506191.71
2023-01-30,499622.96
2023-01-31,499562.34
2023-02-01,505232.61
2023-02-02,502242.18
2023-02-03,496549.32
2023-02-06,489510.86
2023-02-07,491150.59
2023-02-08,486255.09
2023-02-09,490796.74
2023-02-10,482804.24
2023-02-13,485233.86
2023-02-14,487458.06
2023-02-15,486232.74
2023-02-16,487073.72
2023-02-17,487385.97
2023-02-22,484638.48
2023-02-23,482017.87
2023-02-24,482070.74
2023-02-27,479792.35
2023-02-28,474349.19
2023-03-01,470410.29
2023-03-02,468319.78
2023-03-03,466553.88
2023-03-06,466418.81
2023-03-07,473558.70
2023-03-08,474658.30
2023-03-09,474977.22
2023-03-10,474189.61
2023-03-13,473169.21
2023-03-14,479317.53
2023-03-15,479317.62
2023-03-16,480902.01
2023-03-17,482415.76
2023-03-20,478109.49
2023-03-21,469691.04
2023-03-22,468705.37
2023-03-23,466627.94
2023-03-24,456185.88
2023-03-27,456822.12
2023-03-28,459889.97
2023-03-29,463379.30
2023-03-30,464592.82
2023-03-31,466638.20
2023-04-03,465146.50
2023-04-04,461272.47
2023-04-05,467127.01
2023-04-06,467095.85
2023-04-10,468413.77
2023-04-11,471607.05
2023-04-12,479168.32
2023-04-13,488140.58
2023-04-14,488240.42
2023-04-17,490864.00
2023-04-18,490863.67
2023-04-19,488479.01
2023-04-20,483651.32
2023-04-24,487118.46
2023-04-25,487238.50
2023-04-26,487018.85
2023-04-27,482712.93
2023-04-28,484931.01
2023-05-02,486438.99
2023-05-03,484076.57
2023-05-04,481853.55
2023-05-05,483656.49
2023-05-08,479875.92
2023-05-09,481672.65
2023-05-10,483216.90
2023-05-11,486566.22
2023-05-12,489851.08
2023-05-15,487742.37
2023-05-16,491594.66
2023-05-17,487602.04
2023-05-18,488725.46
2023-05-19,489724.15
2023-05-22,493314.75
2023-05-23,489877.27
2023-05-24,491735.78
2023-05-25,488553.28
2023-05-26,496219.09
2023-05-29,498563.30
2023-05-30,497914.75
2023-05-31,492020.82
2023-06-01,487767.93
2023-06-02,495347.52
2023-06-05,497829.94
2023-06-06,500437.61
2023-06-07,506226.90
2023-06-09,509517.11
2023-06-12,517436.55
2023-06-13,521279.83
2023-06-14,517018.41
2023-06-15,522137.89
2023-06-16,522450.17
2023-06-19,520396.00
2023-06-20,525379.96
2023-06-21,527625.17
2023-06-22,531510.23
2023-06-23,522838.93
2023-06-26,527209.96
2023-06-27,522571.61
2023-06-28,519905.80
2023-06-29,516306.51
2023-06-30,523728.31
2023-07-03,528152.23
2023-07-04,532098.75
2023-07-05,528435.52
2023-07-06,528293.18
2023-07-07,518152.60
2023-07-10,525090.22
2023-07-11,521358.95
2023-07-12,517233.04
2023-07-13,517151.35
2023-07-14,524641.77
2023-07-17,520628.58
2023-07-18,525491.64
2023-07-19,523393.88
2023-07-20,519908.20
2023-07-21,523551.85
2023-07-24,533160.48
2023-07-25,528802.58
2023-07-26,527848.06
2023-07-27,531250.50
2023-07-28,522539.75
2023-07-31,527504.54
2023-08-01,530482.56
2023-08-02,528709.11
2023-08-03,528100.95
2023-08-04,525821.96
2023-08-07,517795.94
2023-08-08,516130.25
2023-08-09,514616.54
2023-08-10,512978.37
2023-08-11,513828.69
2023-08-14,515233.58
2023-08-15,513452.46
2023-08-16,508065.21
2023-08-17,505820.50
2023-08-18,502258.14
2023-08-21,504333.46
2023-08-22,502901.49
2023-08-23,506832.50
2023-08-24,510787.81
2023-08-25,508041.58
2023-08-28,505667.89
2023-08-29,508286.64
2023-08-30,511937.38
2023-08-31,510464.53
2023-09-01,503862.78
2023-09-04,507551.20
2023-09-05,505834.66
2023-09-06,503363.32
2023-09-08,501827.95
2023-09-11,500696.69
2023-09-12,502588.65
2023-09-13,504760.01
2023-09-14,507258.95
2023-09-15,510890.76
2023-09-18,509888.39
2023-09-19,507410.04
2023-09-20,504273.14
2023-09-21,505109.00
2023-09-22,501335.93
2023-09-25,501444.20
2023-09-26,499461.85
2023-09-27,496555.88
2023-09-28,495875.42
2023-09-29,498026.01
2023-10-02,498740.98
2023-10-03,498138.64
2023-10-04,495375.91
2023-10-05,495323.20
2023-10-06,494900.84
2023-10-09,496164.98
2023-10-10,499629.48
2023-10-11,504086.18
2023-10-13,505459.66
2023-10-16,500727.76
2023-10-17,503163.70
2023-10-18,500038.87
2023-10-19,492738.06
2023-10-20,493483.46
2023-10-23,494091.87
2023-10-24,492458.24
2023-10-25,491129.04
2023-10-26,489869.27
2023-10-27,492940.33
2023-10-30,488657.77
2023-10-31,484454.08
2023-11-01,484423.67
2023-11-03,485911.40
2023-11-06,495896.01
2023-11-07,497087.33
2023-11-08,499410.19
2023-11-09,499280.13
2023-11-10,495401.72
2023-11-13,495733.70
2023-11-14,496546.07
2023-11-16,503279.53
2023-11-17,510235.61
2023-11-20,506342.70
2023-11-21,504975.56
2023-11-22,502509.25
2023-11-23,510998.20
2023-11-24,515031.14
2023-11-27,513595.70
2023-11-28,515415.38
2023-11-29,520090.40
2023-11-30,516346.68
2023-12-01,524018.75
2023-12-04,529860.88
2023-12-05,528972.72
2023-12-06,534084.83
2023-12-07,527898.44
2023-12-08,530598.42
2023-12-11,533326.63
2023-12-12,516702.73
2023-12-13,512868.80
2023-12-14,523755.66
2023-12-15,526194.53
2023-12-18,527934.71
2023-12-19,531609.89
2023-12-20,532486.69
2023-12-21,519741.20
2023-12-22,522221.80
2023-12-26,519499.55
2023-12-27,522982.92
2023-12-28,523905.85
2024-01-02,523891.88
2024-01-03,517349.47
2024-01-04,515221.15
2024-01-05,509818.45
2024-01-08,513699.61
2024-01-09,514941.96
2024-01-10,509627.38
2024-01-11,507526.76
2024-01-12,506692.24
2024-01-15,506641.57
2024-01-16,508917.39
2024-01-17,503898.58
2024-01-18,503548.49
2024-01-19,500324.16
2024-01-22,500481.68
2024-01-23,497150.34
2024-01-24,498586.38
2024-01-25,498312.48
2024-01-26,497476.67
2024-01-29,496761.09
2024-01-30,492415.51
2024-01-31,488792.44
2024-02-01,490470.47
2024-02-02,493841.94
2024-02-05,491246.87
2024-02-06,491481.63
2024-02-07,499763.50
2024-02-08,499595.80
2024-02-09,494347.87
2024-02-14,494459.13
2024-02-15,492692.19
2024-02-16,493187.48
2024-02-19,491008.86
2024-02-20,494779.60
2024-02-21,499290.54
2024-02-22,496820.32
2024-02-23,494609.38
2024-02-26,492602.87
2024-02-27,495469.70
2024-02-28,500170.51
2024-02-29,500538.28
2024-03-01,499132.95
2024-03-04,500178.16
2024-03-05,498272.04
2024-03-06,499355.85
2024-03-07,500792.91
2024-03-08,497434.82
2024-03-11,498310.02
2024-03-12,494847.37
2024-03-13,497068.40
2024-03-14,493712.99
2024-03-15,492375.92
2024-03-18,491638.19
2024-03-19,486878.82
2024-03-20,488105.70
2024-03-21,491967.81
2024-03-22,491448.86
2024-03-25,490359.65
2024-03-26,490137.92
2024-03-27,488291.04
2024-03-28,487869.92
2024-04-01,488226.01
2024-04-02,485590.14
2024-04-03,485351.95
2024-04-04,486164.19
2024-04-05,487312.78
2024-04-08,486652.08
2024-04-09,488211.23
2024-04-10,490124.66
2024-04-11,487825.24
2024-04-12,488018.17
2024-04-15,485779.74
2024-04-16,483873.52
2024-04-17,478747.80
2024-04-18,478993.44
2024-04-19,479558.84
2024-04-22,478691.59
2024-04-23,479821.16
2024-04-24,476710.64
2024-04-25,475106.28
2024-04-26,473999.86
2024-04-29,473799.76
2024-04-30,474591.21
2024-05-02,472765.04
2024-05-03,476404.53
2024-05-06,477508.61
2024-05-07,473154.46
2024-05-08,473882.27
2024-05-09,471811.24
2024-05-10,466563.95
2024-05-13,465982.28
2024-05-14,467133.24
2024-05-15,468553.83
2024-05-16,469024.80
2024-05-17,469220.07
2024-05-20,469066.10
2024-05-21,463511.23
2024-05-22,466275.27
2024-05-23,461097.55
2024-05-24,459055.29
2024-05-27,457510.94
2024-05-28,457182.53
2024-05-29,455502.38
2024-05-31,452615.73
2024-06-03,449165.82
2024-06-04,452305.55
2024-06-05,453411.15
2024-06-06,454712.79
2024-06-07,456617.87
2024-06-10,451122.87
2024-06-11,447524.34
2024-06-12,448818.65
2024-06-13,446187.15
2024-06-14,447295.20
2024-06-17,447042.27
2024-06-18,442145.87
2024-06-19,442889.65
2024-06-20,442639.35
2024-06-21,442375.15
2024-06-24,444305.96
2024-06-25,447330.68
2024-06-26,445231.28
2024-06-27,445923.64
2024-06-28,450437.71
2024-07-01,449253.41
2024-07-02,453925.79
2024-07-03,452093.65
2024-07-04,454149.40
2024-07-05,457307.10
2024-07-08,455876.53
2024-07-09,456128.49
2024-07-10,459294.18
2024-07-11,460321.88
2024-07-12,465115.34
2024-07-15,467172.41
2024-07-16,467345.06
2024-07-17,470471.71
2024-07-18,471456.33
2024-07-19,465990.97
2024-07-22,463739.78
2024-07-23,469148.22
2024-07-24,462467.21
2024-07-25,459285.41
2024-07-26,460353.34
2024-07-29,462606.79
2024-07-30,460711.12
2024-07-31,458246.58
2024-08-01,459542.46
2024-08-02,464159.99
2024-08-05,457316.53
2024-08-06,454999.02
2024-08-07,456421.37
2024-08-08,461749.76
2024-08-09,461476.79
2024-08-12,468788.31
2024-08-13,461567.09
2024-08-14,465641.71
2024-08-15,474109.05
2024-08-16,473868.07
2024-08-19,473585.43
2024-08-20,476920.73
2024-08-21,477887.68
2024-08-22,478478.22
2024-08-23,476377.27
2024-08-26,478659.72
2024-08-27,475402.00
2024-08-28,473435.93
2024-08-29,474274.02
2024-08-30,472406.11
2024-09-02,472778.04
2024-09-03,472760.48
2024-09-04,471704.32
2024-09-05,478556.04
2024-09-06,477812.29
2024-09-09,475709.37
2024-09-10,476567.63
2024-09-11,477386.50
2024-09-12,474340.94
2024-09-13,472102.21
2024-09-16,472665.08
2024-09-17,473335.00
2024-09-18,473709.08
2024-09-19,473198.25
2024-09-20,471124.35
2024-09-23,466768.38
2024-09-24,461386.91
2024-09-25,460302.95
