date,equity
2023-01-02,499235.84
2023-01-03,483275.27
2023-01-04,470273.31
2023-01-05,478268.26
2023-01-06,487728.61
2023-01-09,492949.10
2023-01-10,491532.78
2023-01-11,501020.36
2023-01-12,511617.66
2023-01-13,507909.88
2023-01-16,504636.19
2023-01-17,496621.95
2023-01-18,507210.58
2023-01-19,510471.88
2023-01-20,510283.67
2023-01-23,507199.01
2023-01-24,499544.08
2023-01-25,503885.65
2023-01-26,510667.54
2023-01-27,508396.65
2023-01-30,500964.69
2023-01-31,500153.95
2023-02-01,509322.33
2023-02-02,504338.73
2023-02-03,502398.64
2023-02-06,489836.26
2023-02-07,490327.34
2023-02-08,485703.98
2023-02-09,493575.19
2023-02-10,485439.43
2023-02-13,483514.04
2023-02-14,487588.22
2023-02-15,482837.90
2023-02-16,490810.73
2023-02-17,490005.28
2023-02-22,487359.17
2023-02-23,479596.54
2023-02-24,480251.44
2023-02-27,471457.25
2023-02-28,468653.48
2023-03-01,467131.42
2023-03-02,463028.42
2023-03-03,456298.99
2023-03-06,459914.41
2023-03-07,467609.28
2023-03-08,470796.55
2023-03-09,483707.72
2023-03-10,481123.97
2023-03-13,473058.69
2023-03-14,473186.55
2023-03-15,473432.89
2023-03-16,477327.18
2023-03-17,482534.22
2023-03-20,474458.54
2023-03-21,467577.88
2023-03-22,467203.08
2023-03-23,466035.34
2023-03-24,457192.22
2023-03-27,456751.68
2023-03-28,457829.90
2023-03-29,463212.09
2023-03-30,462605.00
2023-03-31,469278.30
2023-04-03,464543.18
2023-04-04,460360.48
2023-04-05,464933.94
2023-04-06,465054.16
2023-04-10,464877.49
2023-04-11,468291.59
2023-04-12,484683.63
2023-04-13,493466.90
2023-04-14,490213.01
2023-04-17,492281.71
2023-04-18,493367.44
2023-04-19,490464.31
2023-04-20,482437.66
2023-04-24,487014.83
2023-04-25,484158.69
2023-04-26,484549.72
2023-04-27,479239.89
2023-04-28,484782.13
2023-05-02,488662.20
2023-05-03,480831.02
2023-05-04,481757.83
2023-05-05,487583.20
2023-05-08,493380.93
2023-05-09,493959.22
2023-05-10,496681.75
2023-05-11,503079.73
2023-05-12,511559.95
2023-05-15,511676.37
2023-05-16,515919.18
2023-05-17,508798.62
2023-05-18,512628.89
2023-05-19,517715.95
2023-05-22,522213.35
2023-05-23,524410.35
2023-05-24,523856.38
2023-05-25,520059.29
2023-05-26,527897.66
2023-05-29,530895.69
2023-05-30,531930.87
2023-05-31,528324.62
2023-06-01,527484.99
2023-06-02,536745.28
2023-06-05,538592.65
2023-06-06,542163.39
