date,action,ticker,qty,price,fee_total,cash_delta_date,settlement_date,rule_id_or_reason
2023-01-02,BUY,ABEV3.SA,3442,14.5200,84.9668,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,AURE3.SA,3393,14.7300,84.9683,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,B3SA3.SA,3783,13.2100,84.9601,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BBAS3.SA,2877,17.3650,84.9387,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BBDC4.SA,3297,15.1500,84.9243,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BEEF3.SA,3853,12.9600,84.9023,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BPAC11.SA,2086,23.9300,84.8770,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,CMIG4.SA,5822,8.5692,84.8351,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,COGN3.SA,23518,2.1200,84.7872,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-03,SELL,ABEV3.SA,3442,14.1900,83.2630,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,B3SA3.SA,3783,12.2500,79.5126,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BBAS3.SA,2877,16.6300,81.7668,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BBDC4.SA,3297,14.7500,82.9461,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BEEF3.SA,3853,12.7000,83.3996,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BPAC11.SA,2086,22.3800,80.0270,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,COGN3.SA,23518,2.0500,82.3178,2023-01-05,2023-01-05,HARD_STOP
2023-01-05,SELL,CMIG4.SA,5822,8.2923,82.4167,2023-01-09,2023-01-09,HARD_STOP
2023-01-09,BUY,CPLE6.SA,6379,7.5379,82.1262,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ELET3.SA,1172,41.0000,82.0780,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,EQTL3.SA,1880,25.5697,82.1067,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,GGBR4.SA,1996,24.0714,82.0699,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ITSA4.SA,6274,7.6592,82.0809,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ITUB4.SA,2094,22.9364,82.0431,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,LREN3.SA,2723,17.6273,81.9986,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,MGLU3.SA,1858,25.8149,81.9462,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-10,SELL,CPLE6.SA,3189,7.4679,45.7227,2023-01-12,2023-01-12,SOFT_STOP
2023-01-10,SELL,ELET3.SA,1172,41.3000,82.6054,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,EQTL3.SA,940,25.9193,46.5463,2023-01-12,2023-01-12,SOFT_STOP
2023-01-10,SELL,GGBR4.SA,1996,24.5635,83.5431,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,ITUB4.SA,2094,23.1000,82.5571,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,LREN3.SA,2723,17.6727,82.1843,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,MGLU3.SA,1858,26.4697,83.7709,2023-01-12,2023-01-12,HARD_STOP
2023-01-11,SELL,CPLE6.SA,1595,7.4379,27.7952,2023-01-13,2023-01-13,SOFT_STOP
2023-01-11,SELL,EQTL3.SA,470,26.1491,28.4351,2023-01-13,2023-01-13,SOFT_STOP
2023-01-12,SELL,CPLE6.SA,797,7.7878,19.3103,2023-01-16,2023-01-16,SOFT_STOP
2023-01-12,SELL,EQTL3.SA,235,27.3277,19.6330,2023-01-16,2023-01-16,SOFT_STOP
2023-01-13,SELL,CPLE6.SA,399,7.7278,14.6251,2023-01-17,2023-01-17,SOFT_STOP
2023-01-13,SELL,EQTL3.SA,117,27.5174,14.8293,2023-01-17,2023-01-17,SOFT_STOP
2023-01-16,SELL,CPLE6.SA,199,7.7778,12.3217,2023-01-18,2023-01-18,SOFT_STOP
2023-01-16,SELL,EQTL3.SA,59,27.0480,12.3937,2023-01-18,2023-01-18,SOFT_STOP
2023-01-16,BUY,PETR3.SA,2259,27.6900,103.8276,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,PETR4.SA,2545,24.5700,103.7960,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,PRIO3.SA,1601,39.0500,103.7786,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,RADL3.SA,2710,23.0577,103.7295,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,RAIL3.SA,3399,18.3700,103.6594,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-17,SELL,CPLE6.SA,100,7.6978,11.1547,2023-01-19,2023-01-19,SOFT_STOP
2023-01-17,SELL,EQTL3.SA,29,26.7983,11.1657,2023-01-19,2023-01-19,SOFT_STOP
2023-01-17,SELL,PETR3.SA,2259,27.0000,101.4895,2023-01-19,2023-01-19,HARD_STOP
2023-01-17,SELL,PETR4.SA,2545,24.0400,101.7727,2023-01-19,2023-01-19,HARD_STOP
2023-01-17,SELL,PRIO3.SA,1601,39.0700,103.8266,2023-01-19,2023-01-19,HARD_STOP
2023-01-17,SELL,RADL3.SA,2710,23.1538,104.1204,2023-01-19,2023-01-19,HARD_STOP
2023-01-17,SELL,RAIL3.SA,3399,18.3000,103.3025,2023-01-19,2023-01-19,HARD_STOP
2023-01-18,SELL,CPLE6.SA,50,7.6978,10.5773,2023-01-20,2023-01-20,SOFT_STOP
2023-01-18,SELL,EQTL3.SA,15,26.7883,10.6027,2023-01-20,2023-01-20,SOFT_STOP
2023-01-19,SELL,CPLE6.SA,25,7.7378,10.2902,2023-01-23,2023-01-23,SOFT_STOP
2023-01-19,SELL,EQTL3.SA,7,27.3876,10.2876,2023-01-23,2023-01-23,SOFT_STOP
2023-01-20,SELL,CPLE6.SA,12,7.8078,10.1405,2023-01-24,2023-01-24,SOFT_STOP
2023-01-20,SELL,EQTL3.SA,4,27.3576,10.1641,2023-01-24,2023-01-24,SOFT_STOP
2023-01-23,SELL,CPLE6.SA,6,7.7278,10.0696,2023-01-25,2023-01-25,SOFT_STOP
2023-01-23,SELL,EQTL3.SA,2,26.9581,10.0809,2023-01-25,2023-01-25,SOFT_STOP
2023-01-23,BUY,ABEV3.SA,4724,13.5300,105.8736,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,B3SA3.SA,5004,12.7700,105.8516,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,BBAS3.SA,3188,20.0350,105.8074,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,BBDC4.SA,4352,14.6700,105.7658,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-23,BUY,BEEF3.SA,4113,15.5100,105.6889,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-24,SELL,CPLE6.SA,3,7.6878,10.0346,2023-01-26,2023-01-26,SOFT_STOP
2023-01-24,SELL,EQTL3.SA,1,26.9581,10.0404,2023-01-26,2023-01-26,SOFT_STOP
2023-01-24,SELL,ABEV3.SA,4724,13.4200,105.0941,2023-01-26,2023-01-26,HARD_STOP
2023-01-24,SELL,B3SA3.SA,5004,12.6500,104.9509,2023-01-26,2023-01-26,HARD_STOP
2023-01-24,SELL,BBAS3.SA,3188,19.8850,105.0901,2023-01-26,2023-01-26,HARD_STOP
2023-01-24,SELL,BBDC4.SA,4352,14.0500,101.7184,2023-01-26,2023-01-26,HARD_STOP
2023-01-24,SELL,BEEF3.SA,4113,14.9600,102.2957,2023-01-26,2023-01-26,HARD_STOP
2023-01-25,SELL,CPLE6.SA,2,7.7778,10.0233,2023-01-27,2023-01-27,SOFT_STOP
2023-01-26,SELL,CPLE6.SA,1,7.8078,10.0117,2023-01-30,2023-01-30,SOFT_STOP
2023-01-30,BUY,BPAC11.SA,2947,21.2700,104.0240,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-30,BUY,CMIG4.SA,7276,8.6154,104.0283,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-30,BUY,COGN3.SA,29010,2.1600,103.9924,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-30,BUY,ELET3.SA,1516,41.3000,103.9162,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-30,BUY,GGBR4.SA,2444,25.6111,103.8903,2023-01-30,2023-01-30,WEEKLY_BUY
2023-01-31,SELL,BPAC11.SA,2947,21.1000,103.2726,2023-02-02,2023-02-02,HARD_STOP
2023-01-31,SELL,CMIG4.SA,7276,8.5923,103.7764,2023-02-02,2023-02-02,HARD_STOP
2023-01-31,SELL,COGN3.SA,29010,2.1600,103.9924,2023-02-02,2023-02-02,HARD_STOP
2023-01-31,SELL,ELET3.SA,1516,40.7000,102.5518,2023-02-02,2023-02-02,HARD_STOP
2023-01-31,SELL,GGBR4.SA,2444,25.7302,104.3268,2023-02-02,2023-02-02,HARD_STOP
2023-02-06,BUY,ITUB4.SA,2728,22.8364,103.4464,2023-02-06,2023-02-06,WEEKLY_BUY
2023-02-06,BUY,LREN3.SA,3382,18.4182,103.4354,2023-02-06,2023-02-06,WEEKLY_BUY
2023-02-06,BUY,MGLU3.SA,1559,39.9383,103.3957,2023-02-06,2023-02-06,WEEKLY_BUY
