date,equity
2023-01-02,499235.84
2023-01-03,482868.69
2023-01-04,479284.88
2023-01-05,481092.48
2023-01-06,481915.51
2023-01-09,481563.06
2023-01-10,484326.07
2023-01-11,487172.99
2023-01-12,495351.22
2023-01-13,495150.37
2023-01-16,491971.49
2023-01-17,491983.25
2023-01-18,494773.21
2023-01-19,496972.70
2023-01-20,498554.48
2023-01-23,494235.23
2023-01-24,487799.22
2023-01-25,490971.92
2023-01-26,495868.46
2023-01-27,496649.35
2023-01-30,491138.25
2023-01-31,489766.14
2023-02-01,493756.31
2023-02-02,490659.12
2023-02-03,485450.11
2023-02-06,480711.39
2023-02-07,481337.03
2023-02-08,476393.91
2023-02-09,483676.47
2023-02-10,473152.78
2023-02-13,475558.98
2023-02-14,477724.04
2023-02-15,473485.32
2023-02-16,475916.04
2023-02-17,476943.54
2023-02-22,474850.74
2023-02-23,467126.78
2023-02-24,467794.98
2023-02-27,462238.78
2023-02-28,460825.48
2023-03-01,460286.20
2023-03-02,457627.26
2023-03-03,453642.52
2023-03-06,454031.48
2023-03-07,457374.80
2023-03-08,459404.24
2023-03-09,465794.35
2023-03-10,458766.37
2023-03-13,455785.47
2023-03-14,455016.72
2023-03-15,455498.08
2023-03-16,460196.32
2023-03-17,461310.23
2023-03-20,449391.71
2023-03-21,446951.74
2023-03-22,446298.59
2023-03-23,445886.51
2023-03-24,439122.24
2023-03-27,443558.27
2023-03-28,446454.02
2023-03-29,451525.06
2023-03-30,453691.74
2023-03-31,458312.71
2023-04-03,457029.68
2023-04-04,455302.51
2023-04-05,461027.95
2023-04-06,460988.11
2023-04-10,461477.66
2023-04-11,465295.97
2023-04-12,475715.54
2023-04-13,485261.47
2023-04-14,485982.48
2023-04-17,487689.71
2023-04-18,487032.56
2023-04-19,485681.67
2023-04-20,480754.13
2023-04-24,485263.53
2023-04-25,483017.74
2023-04-26,483498.95
2023-04-27,479918.67
2023-04-28,483818.69
2023-05-02,486562.34
2023-05-03,480795.86
2023-05-04,479578.58
2023-05-05,484678.46
2023-05-08,484538.84
2023-05-09,484527.08
2023-05-10,486607.47
2023-05-11,489498.33
2023-05-12,494799.34
2023-05-15,493757.30
2023-05-16,497269.97
2023-05-17,493670.14
2023-05-18,492164.03
2023-05-19,492392.28
2023-05-22,496780.39
2023-05-23,494696.85
2023-05-24,496360.05
2023-05-25,493850.20
2023-05-26,500296.99
2023-05-29,499899.05
2023-05-30,498952.14
2023-05-31,493820.60
2023-06-01,489694.93
2023-06-02,492917.35
2023-06-05,497391.25
2023-06-06,499082.45
2023-06-07,506767.80
2023-06-09,509922.82
2023-06-12,520269.47
2023-06-13,524968.03
2023-06-14,521735.72
2023-06-15,525052.36
2023-06-16,527250.47
2023-06-19,525516.80
2023-06-20,529417.89
2023-06-21,533714.40
2023-06-22,538134.35
2023-06-23,529390.84
2023-06-26,536050.51
2023-06-27,531949.91
2023-06-28,527865.95
2023-06-29,524341.68
2023-06-30,529707.29
2023-07-03,535820.83
2023-07-04,539808.71
2023-07-05,536977.07
2023-07-06,537776.32
2023-07-07,529005.57
2023-07-10,535041.07
2023-07-11,532191.40
2023-07-12,529265.83
2023-07-13,528463.48
2023-07-14,535433.43
2023-07-17,531299.14
2023-07-18,535338.86
2023-07-19,534298.83
2023-07-20,531874.84
2023-07-21,535194.37
2023-07-24,543917.82
2023-07-25,540778.37
2023-07-26,539975.22
2023-07-27,542776.16
2023-07-28,533742.54
2023-07-31,538364.75
2023-08-01,540225.54
2023-08-02,538385.98
2023-08-03,539563.96
2023-08-04,535599.33
2023-08-07,529855.56
2023-08-08,528914.76
2023-08-09,527608.90
2023-08-10,526154.72
2023-08-11,527106.81
2023-08-14,529579.52
2023-08-15,528329.85
2023-08-16,521421.22
2023-08-17,518239.00
2023-08-18,516381.32
2023-08-21,519909.75
2023-08-22,517710.75
2023-08-23,522546.31
2023-08-24,527941.56
2023-08-25,525111.21
2023-08-28,521073.08
2023-08-29,526770.06
2023-08-30,531637.27
2023-08-31,529236.51
2023-09-01,519871.61
2023-09-04,523321.55
2023-09-05,520870.19
2023-09-06,516065.60
2023-09-08,510866.72
2023-09-11,510071.45
2023-09-12,517879.95
2023-09-13,521762.48
2023-09-14,526359.16
2023-09-15,530053.96
2023-09-18,530640.01
2023-09-19,526058.52
2023-09-20,525090.88
2023-09-21,527568.41
2023-09-22,520279.37
2023-09-25,517982.13
2023-09-26,518040.51
2023-09-27,510431.60
2023-09-28,506813.72
2023-09-29,512782.95
2023-10-02,513979.81
2023-10-03,508328.49
2023-10-04,502759.38
2023-10-05,505431.49
2023-10-06,503915.28
2023-10-09,506814.14
2023-10-10,508276.70
2023-10-11,513503.86
2023-10-13,516186.71
2023-10-16,506543.59
2023-10-17,509331.16
2023-10-18,502996.62
2023-10-19,494106.20
2023-10-20,497865.04
2023-10-23,497733.88
2023-10-24,501113.84
2023-10-25,502647.77
2023-10-26,500261.38
2023-10-27,510766.41
2023-10-30,501057.53
2023-10-31,495768.37
2023-11-01,498050.30
2023-11-03,504334.60
2023-11-06,520394.83
2023-11-07,524657.47
2023-11-08,529364.19
2023-11-09,530712.84
2023-11-10,525629.77
2023-11-13,531473.03
2023-11-14,529051.82
2023-11-16,539461.23
2023-11-17,545924.70
2023-11-20,542337.44
2023-11-21,540585.63
2023-11-22,535968.29
2023-11-23,535775.92
2023-11-24,537656.96
2023-11-27,536436.57
2023-11-28,539571.41
2023-11-29,541635.26
2023-11-30,540590.00
2023-12-01,547880.60
2023-12-04,549440.84
2023-12-05,547213.36
2023-12-06,551497.60
2023-12-07,545677.30
2023-12-08,547931.75
2023-12-11,551335.78
2023-12-12,545352.41
2023-12-13,541181.14
2023-12-14,553782.06
2023-12-15,559350.16
2023-12-18,559714.81
2023-12-19,561243.31
2023-12-20,563146.40
2023-12-21,557136.86
2023-12-22,558569.54
2023-12-26,559041.78
2023-12-27,562098.56
2023-12-28,564469.51
2024-01-02,565368.45
2024-01-03,558406.33
2024-01-04,556873.01
2024-01-05,551674.01
2024-01-08,557391.77
2024-01-09,560134.38
2024-01-10,558518.29
2024-01-11,558197.91
2024-01-12,555464.06
2024-01-15,557366.69
2024-01-16,561757.11
2024-01-17,555810.72
2024-01-18,554540.03
2024-01-19,549147.23
2024-01-22,550411.25
2024-01-23,546996.24
2024-01-24,551238.93
2024-01-25,550672.98
2024-01-26,551040.78
2024-01-29,552954.50
2024-01-30,550095.99
2024-01-31,544704.58
2024-02-01,549709.40
2024-02-02,553270.59
2024-02-05,550709.63
2024-02-06,554099.15
2024-02-07,564709.30
2024-02-08,558534.66
2024-02-09,548986.99
2024-02-14,549570.42
2024-02-15,547727.78
2024-02-16,548193.61
2024-02-19,546591.99
2024-02-20,551260.58
2024-02-21,554281.51
2024-02-22,554012.40
2024-02-23,552487.28
2024-02-26,544882.35
2024-02-27,546791.40
2024-02-28,553134.75
2024-02-29,553553.60
2024-03-01,547306.68
2024-03-04,543932.15
2024-03-05,540188.08
2024-03-06,541881.98
2024-03-07,543067.68
2024-03-08,540916.08
2024-03-11,542774.62
2024-03-12,540344.24
2024-03-13,544717.28
2024-03-14,545604.26
2024-03-15,545603.20
2024-03-18,543769.27
2024-03-19,540922.72
2024-03-20,542265.22
2024-03-21,550243.89
2024-03-22,549401.77
2024-03-25,544749.40
2024-03-26,543977.23
2024-03-27,539894.55
2024-03-28,542123.71
2024-04-01,540443.77
2024-04-02,535644.12
2024-04-03,536234.46
2024-04-04,537236.59
2024-04-05,539442.54
2024-04-08,534835.53
2024-04-09,539812.44
2024-04-10,543846.26
2024-04-11,533477.65
2024-04-12,530944.18
2024-04-15,526030.97
2024-04-16,519907.75
2024-04-17,515220.18
2024-04-18,514604.07
2024-04-19,515551.77
2024-04-22,515800.98
2024-04-23,517527.58
2024-04-24,514861.89
2024-04-25,513096.99
2024-04-26,507053.25
2024-04-29,513546.43
2024-04-30,514741.88
2024-05-02,511307.39
2024-05-03,520883.32
2024-05-06,531698.75
2024-05-07,528619.75
2024-05-08,530396.06
2024-05-09,528828.62
2024-05-10,519818.63
2024-05-13,520946.83
2024-05-14,522882.23
2024-05-15,529052.85
2024-05-16,534188.87
2024-05-17,537259.97
2024-05-20,535320.61
2024-05-21,534152.82
2024-05-22,535441.86
2024-05-23,523113.07
2024-05-24,519360.00
2024-05-27,519636.89
2024-05-28,520765.83
2024-05-29,517599.32
2024-05-31,512702.59
2024-06-03,507592.88
2024-06-04,514278.03
2024-06-05,514469.47
2024-06-06,515431.91
2024-06-07,521191.69
2024-06-10,512017.35
2024-06-11,507004.11
2024-06-12,513504.87
2024-06-13,505630.63
2024-06-14,506439.72
2024-06-17,507722.85
2024-06-18,505601.94
2024-06-19,507374.34
2024-06-20,510000.84
2024-06-21,509831.72
2024-06-24,513424.16
2024-06-25,517276.39
2024-06-26,515792.59
2024-06-27,513560.11
2024-06-28,519002.86
2024-07-01,513722.72
2024-07-02,517742.37
2024-07-03,518185.51
2024-07-04,523373.49
2024-07-05,527583.98
2024-07-08,527905.56
2024-07-09,528083.99
2024-07-10,528647.91
2024-07-11,529672.19
2024-07-12,534971.52
2024-07-15,538367.10
2024-07-16,537066.31
2024-07-17,539329.50
2024-07-18,543122.27
2024-07-19,534270.97
2024-07-22,531441.93
2024-07-23,536831.22
2024-07-24,531631.80
2024-07-25,528212.38
2024-07-26,526917.57
2024-07-29,532670.12
2024-07-30,531340.54
2024-07-31,529468.71
2024-08-01,529187.39
2024-08-02,532067.49
2024-08-05,528864.33
2024-08-06,526635.17
2024-08-07,531096.72
2024-08-08,538575.10
2024-08-09,541945.30
2024-08-12,551271.37
2024-08-13,548542.14
2024-08-14,554318.25
2024-08-15,568498.58
2024-08-16,568917.26
2024-08-19,568728.64
2024-08-20,577154.41
2024-08-21,580077.78
2024-08-22,581031.65
2024-08-23,574182.86
2024-08-26,578749.71
2024-08-27,572617.06
2024-08-28,569535.73
2024-08-29,571806.96
2024-08-30,567037.69
2024-09-02,566025.72
2024-09-03,564639.79
2024-09-04,565756.35
2024-09-05,576255.68
2024-09-06,574508.90
2024-09-09,568596.16
2024-09-10,571200.62
2024-09-11,569766.75
2024-09-12,566343.25
2024-09-13,561327.83
2024-09-16,564249.03
2024-09-17,564636.74
2024-09-18,564542.47
2024-09-19,561360.43
2024-09-20,557422.76
2024-09-23,547806.57
2024-09-24,544562.45
2024-09-25,543844.09
2024-09-26,541821.30
2024-09-27,546809.25
2024-09-30,545784.83
2024-10-01,544589.09
2024-10-02,543794.47
2024-10-03,544476.66
2024-10-04,537405.78
2024-10-07,537730.30
2024-10-08,537179.92
2024-10-09,538872.22
2024-10-10,534171.74
2024-10-11,532841.67
2024-10-14,530734.53
2024-10-15,536073.73
2024-10-16,537274.09
2024-10-17,538448.71
2024-10-18,536804.05
2024-10-21,536197.18
2024-10-22,537092.83
2024-10-23,533231.28
2024-10-24,533773.43
2024-10-25,538159.30
2024-10-28,533675.18
2024-10-29,538100.19
2024-10-30,537397.39
2024-10-31,538520.27
2024-11-01,533035.75
2024-11-04,524824.31
2024-11-05,537586.27
2024-11-06,538718.65
2024-11-07,536779.18
2024-11-08,531027.73
2024-11-11,523497.04
2024-11-12,531007.04
2024-11-13,527488.42
2024-11-14,529144.63
2024-11-18,532508.55
2024-11-19,528567.99
2024-11-21,534031.08
