date,ticker,qty
2023-01-02,ABEV3.SA,3442
2023-01-02,AURE3.SA,3393
2023-01-02,B3SA3.SA,3783
2023-01-02,BBAS3.SA,2877
2023-01-02,BBDC4.SA,3297
2023-01-02,BEEF3.SA,3853
2023-01-02,BPAC11.SA,2086
2023-01-02,CMIG4.SA,5822
2023-01-02,COGN3.SA,23518
2023-01-03,ABEV3.SA,3442
2023-01-03,AURE3.SA,3393
2023-01-03,BEEF3.SA,3853
2023-01-03,CMIG4.SA,5822
2023-01-04,ABEV3.SA,3442
2023-01-04,AURE3.SA,3393
2023-01-04,CMIG4.SA,5822
2023-01-05,ABEV3.SA,3442
2023-01-05,AURE3.SA,3393
2023-01-05,CMIG4.SA,5822
2023-01-06,ABEV3.SA,3442
2023-01-06,AURE3.SA,3393
2023-01-06,CMIG4.SA,5822
2023-01-09,ABEV3.SA,3442
2023-01-09,AURE3.SA,3393
2023-01-09,CMIG4.SA,5822
2023-01-09,CPLE6.SA,6339
2023-01-09,ELET3.SA,1165
2023-01-09,EQTL3.SA,1867
2023-01-09,GGBR4.SA,1983
2023-01-09,ITSA4.SA,6231
2023-01-09,ITUB4.SA,2079
2023-01-10,ABEV3.SA,3442
2023-01-10,AURE3.SA,3393
2023-01-10,CMIG4.SA,5822
2023-01-10,CPLE6.SA,6339
2023-01-10,EQTL3.SA,1867
2023-01-10,GGBR4.SA,1983
2023-01-10,ITSA4.SA,6231
2023-01-11,ABEV3.SA,3442
2023-01-11,AURE3.SA,3393
2023-01-11,CMIG4.SA,5822
2023-01-11,CPLE6.SA,6339
2023-01-11,EQTL3.SA,1867
2023-01-11,GGBR4.SA,1983
2023-01-11,ITSA4.SA,6231
2023-01-12,ABEV3.SA,3442
2023-01-12,AURE3.SA,3393
2023-01-12,CMIG4.SA,5822
2023-01-12,CPLE6.SA,6339
2023-01-12,EQTL3.SA,1867
2023-01-12,GGBR4.SA,1983
2023-01-12,ITSA4.SA,6231
2023-01-13,ABEV3.SA,3442
2023-01-13,AURE3.SA,3393
2023-01-13,CMIG4.SA,5822
2023-01-13,CPLE6.SA,6339
2023-01-13,EQTL3.SA,1867
2023-01-13,GGBR4.SA,1983
2023-01-13,ITSA4.SA,6231
2023-01-16,ABEV3.SA,3442
2023-01-16,AURE3.SA,3393
2023-01-16,CMIG4.SA,5822
2023-01-16,CPLE6.SA,6339
2023-01-16,EQTL3.SA,1867
2023-01-16,GGBR4.SA,1983
2023-01-16,ITSA4.SA,6231
2023-01-16,LREN3.SA,2614
2023-01-16,MGLU3.SA,1490
2023-01-17,AURE3.SA,3393
2023-01-17,CMIG4.SA,5822
2023-01-17,CPLE6.SA,6339
2023-01-17,EQTL3.SA,1867
2023-01-17,GGBR4.SA,1983
2023-01-17,ITSA4.SA,6231
2023-01-18,AURE3.SA,3393
2023-01-18,CMIG4.SA,5822
2023-01-18,CPLE6.SA,6339
2023-01-18,EQTL3.SA,1867
2023-01-18,GGBR4.SA,1983
2023-01-18,ITSA4.SA,6231
2023-01-19,AURE3.SA,3393
2023-01-19,CMIG4.SA,5822
2023-01-19,CPLE6.SA,6339
2023-01-19,EQTL3.SA,1867
2023-01-19,GGBR4.SA,1983
2023-01-19,ITSA4.SA,6231
2023-01-20,AURE3.SA,3393
2023-01-20,CMIG4.SA,5822
2023-01-20,CPLE6.SA,6339
2023-01-20,EQTL3.SA,1867
2023-01-20,GGBR4.SA,1983
2023-01-20,ITSA4.SA,6231
2023-01-23,AURE3.SA,3393
2023-01-23,CMIG4.SA,5822
2023-01-23,CPLE6.SA,6339
2023-01-23,EQTL3.SA,1867
2023-01-23,GGBR4.SA,1983
2023-01-23,ITSA4.SA,6231
2023-01-23,B3SA3.SA,3787
2023-01-23,BBAS3.SA,2413
2023-01-23,BBDC4.SA,3293
2023-01-24,AURE3.SA,3393
2023-01-24,CMIG4.SA,5822
2023-01-24,CPLE6.SA,6339
2023-01-24,EQTL3.SA,1867
2023-01-24,GGBR4.SA,1983
2023-01-24,ITSA4.SA,6231
2023-01-24,BBAS3.SA,2413
2023-01-25,AURE3.SA,3393
2023-01-25,CMIG4.SA,5822
2023-01-25,CPLE6.SA,6339
2023-01-25,EQTL3.SA,1867
2023-01-25,GGBR4.SA,1983
2023-01-25,ITSA4.SA,6231
2023-01-25,BBAS3.SA,2413
2023-01-26,AURE3.SA,3393
2023-01-26,CMIG4.SA,5822
2023-01-26,CPLE6.SA,6339
2023-01-26,EQTL3.SA,1867
2023-01-26,GGBR4.SA,1983
2023-01-26,ITSA4.SA,6231
2023-01-26,BBAS3.SA,2413
2023-01-27,AURE3.SA,3393
2023-01-27,CMIG4.SA,5822
2023-01-27,CPLE6.SA,6339
2023-01-27,EQTL3.SA,1867
2023-01-27,GGBR4.SA,1983
2023-01-27,ITSA4.SA,6231
2023-01-27,BBAS3.SA,2413
2023-01-30,AURE3.SA,3393
2023-01-30,CMIG4.SA,5822
2023-01-30,CPLE6.SA,6339
2023-01-30,EQTL3.SA,1867
2023-01-30,GGBR4.SA,1983
2023-01-30,ITSA4.SA,6231
2023-01-30,BBAS3.SA,2413
2023-01-30,BEEF3.SA,3272
2023-01-30,BPAC11.SA,2227
2023-01-31,AURE3.SA,3393
2023-01-31,CMIG4.SA,5822
2023-01-31,CPLE6.SA,6339
2023-01-31,EQTL3.SA,1867
2023-01-31,GGBR4.SA,1983
2023-01-31,ITSA4.SA,6231
2023-01-31,BBAS3.SA,2413
2023-01-31,BEEF3.SA,3272
2023-02-01,AURE3.SA,3393
2023-02-01,CMIG4.SA,5822
2023-02-01,CPLE6.SA,6339
2023-02-01,EQTL3.SA,1867
2023-02-01,GGBR4.SA,1983
2023-02-01,ITSA4.SA,6231
2023-02-01,BBAS3.SA,2413
2023-02-01,BEEF3.SA,3272
2023-02-02,AURE3.SA,3393
2023-02-02,CMIG4.SA,5822
2023-02-02,CPLE6.SA,6339
2023-02-02,EQTL3.SA,1867
2023-02-02,GGBR4.SA,1983
2023-02-02,ITSA4.SA,6231
2023-02-02,BBAS3.SA,2413
2023-02-02,BEEF3.SA,3272
2023-02-03,AURE3.SA,3393
2023-02-03,CMIG4.SA,5822
2023-02-03,CPLE6.SA,6339
2023-02-03,EQTL3.SA,1867
2023-02-03,GGBR4.SA,1983
2023-02-03,ITSA4.SA,6231
2023-02-03,BBAS3.SA,2413
2023-02-03,BEEF3.SA,3272
2023-02-06,AURE3.SA,3393
2023-02-06,CMIG4.SA,5822
2023-02-06,CPLE6.SA,6339
2023-02-06,EQTL3.SA,1867
2023-02-06,GGBR4.SA,1983
2023-02-06,ITSA4.SA,6231
2023-02-06,BBAS3.SA,2413
2023-02-06,BEEF3.SA,3272
2023-02-06,ABEV3.SA,3629
2023-02-07,AURE3.SA,3393
2023-02-07,CMIG4.SA,5822
2023-02-07,CPLE6.SA,6339
2023-02-07,EQTL3.SA,1867
2023-02-07,GGBR4.SA,1983
2023-02-07,ITSA4.SA,6231
2023-02-07,BBAS3.SA,2413
2023-02-07,BEEF3.SA,3272
2023-02-08,AURE3.SA,3393
2023-02-08,CMIG4.SA,5822
2023-02-08,CPLE6.SA,6339
2023-02-08,EQTL3.SA,1867
2023-02-08,GGBR4.SA,1983
2023-02-08,ITSA4.SA,6231
2023-02-08,BBAS3.SA,2413
2023-02-08,BEEF3.SA,3272
2023-02-09,AURE3.SA,3393
2023-02-09,CMIG4.SA,5822
2023-02-09,CPLE6.SA,6339
2023-02-09,EQTL3.SA,1867
2023-02-09,GGBR4.SA,1983
2023-02-09,ITSA4.SA,6231
2023-02-09,BBAS3.SA,2413
2023-02-09,BEEF3.SA,3272
2023-02-10,AURE3.SA,3393
2023-02-10,CMIG4.SA,5822
2023-02-10,CPLE6.SA,6339
2023-02-10,EQTL3.SA,1867
2023-02-10,GGBR4.SA,1983
2023-02-10,ITSA4.SA,6231
2023-02-10,BBAS3.SA,2413
2023-02-10,BEEF3.SA,3272
2023-02-13,AURE3.SA,3393
2023-02-13,CMIG4.SA,5822
2023-02-13,CPLE6.SA,6339
2023-02-13,EQTL3.SA,1867
2023-02-13,GGBR4.SA,1983
2023-02-13,ITSA4.SA,6231
2023-02-13,BBAS3.SA,2413
2023-02-13,BEEF3.SA,3272
2023-02-13,B3SA3.SA,3991
2023-02-14,AURE3.SA,3393
2023-02-14,CMIG4.SA,5822
2023-02-14,CPLE6.SA,6339
2023-02-14,EQTL3.SA,1867
2023-02-14,GGBR4.SA,1983
2023-02-14,ITSA4.SA,6231
2023-02-14,BBAS3.SA,2413
2023-02-14,BEEF3.SA,3272
2023-02-14,B3SA3.SA,3991
2023-02-15,AURE3.SA,3393
2023-02-15,CMIG4.SA,5822
2023-02-15,CPLE6.SA,6339
2023-02-15,EQTL3.SA,1867
2023-02-15,GGBR4.SA,1983
2023-02-15,ITSA4.SA,6231
2023-02-15,BBAS3.SA,2413
2023-02-15,B3SA3.SA,3991
2023-02-16,AURE3.SA,3393
2023-02-16,CMIG4.SA,5822
2023-02-16,CPLE6.SA,6339
2023-02-16,EQTL3.SA,1867
2023-02-16,GGBR4.SA,1983
2023-02-16,ITSA4.SA,6231
2023-02-16,BBAS3.SA,2413
2023-02-16,B3SA3.SA,3991
2023-02-17,AURE3.SA,3393
2023-02-17,CMIG4.SA,5822
2023-02-17,CPLE6.SA,6339
2023-02-17,EQTL3.SA,1867
2023-02-17,GGBR4.SA,1983
2023-02-17,ITSA4.SA,6231
2023-02-17,BBAS3.SA,2413
2023-02-17,B3SA3.SA,3991
2023-02-22,AURE3.SA,3393
2023-02-22,CMIG4.SA,5822
2023-02-22,CPLE6.SA,6339
2023-02-22,EQTL3.SA,1867
2023-02-22,GGBR4.SA,1983
2023-02-22,ITSA4.SA,6231
2023-02-22,BBAS3.SA,2413
2023-02-22,B3SA3.SA,3991
2023-02-23,AURE3.SA,3393
2023-02-23,CMIG4.SA,5822
2023-02-23,CPLE6.SA,6339
2023-02-23,EQTL3.SA,1867
2023-02-23,GGBR4.SA,1983
2023-02-23,ITSA4.SA,6231
2023-02-23,BBAS3.SA,2413
2023-02-24,AURE3.SA,3393
2023-02-24,CMIG4.SA,5822
2023-02-24,CPLE6.SA,6339
2023-02-24,EQTL3.SA,1867
2023-02-24,GGBR4.SA,1983
2023-02-24,ITSA4.SA,6231
2023-02-24,BBAS3.SA,2413
2023-02-27,AURE3.SA,3393
2023-02-27,CMIG4.SA,5822
2023-02-27,CPLE6.SA,6339
2023-02-27,EQTL3.SA,1867
2023-02-27,GGBR4.SA,1983
2023-02-27,ITSA4.SA,6231
2023-02-27,BBAS3.SA,2413
2023-02-27,ABEV3.SA,3296
2023-02-27,BBDC4.SA,3299
2023-02-28,AURE3.SA,3393
2023-02-28,CMIG4.SA,5822
2023-02-28,CPLE6.SA,6339
2023-02-28,EQTL3.SA,1867
2023-02-28,GGBR4.SA,1983
2023-02-28,ITSA4.SA,6231
2023-02-28,BBAS3.SA,2413
2023-02-28,ABEV3.SA,3296
2023-02-28,BBDC4.SA,3299
2023-03-01,AURE3.SA,3393
2023-03-01,CMIG4.SA,5822
2023-03-01,CPLE6.SA,6339
2023-03-01,EQTL3.SA,1867
2023-03-01,GGBR4.SA,1983
2023-03-01,ITSA4.SA,6231
2023-03-01,BBAS3.SA,2413
2023-03-01,BBDC4.SA,3299
2023-03-02,AURE3.SA,3393
2023-03-02,CMIG4.SA,5822
2023-03-02,CPLE6.SA,6339
2023-03-02,EQTL3.SA,1867
2023-03-02,GGBR4.SA,1983
2023-03-02,ITSA4.SA,6231
2023-03-02,BBAS3.SA,2413
2023-03-02,BBDC4.SA,3299
2023-03-03,AURE3.SA,3393
2023-03-03,CMIG4.SA,5822
2023-03-03,CPLE6.SA,6339
2023-03-03,EQTL3.SA,1867
2023-03-03,GGBR4.SA,1983
2023-03-03,ITSA4.SA,6231
2023-03-03,BBAS3.SA,2413
2023-03-03,BBDC4.SA,3299
2023-03-06,AURE3.SA,3393
2023-03-06,CMIG4.SA,5822
2023-03-06,CPLE6.SA,6339
2023-03-06,EQTL3.SA,1867
2023-03-06,GGBR4.SA,1983
2023-03-06,ITSA4.SA,6231
2023-03-06,BBAS3.SA,2413
2023-03-06,BBDC4.SA,3299
2023-03-06,BEEF3.SA,3723
2023-03-07,AURE3.SA,3393
2023-03-07,CMIG4.SA,5822
2023-03-07,CPLE6.SA,6339
2023-03-07,EQTL3.SA,1867
2023-03-07,GGBR4.SA,1983
2023-03-07,ITSA4.SA,6231
2023-03-07,BBAS3.SA,2413
2023-03-07,BBDC4.SA,3299
2023-03-08,AURE3.SA,3393
2023-03-08,CMIG4.SA,5822
2023-03-08,CPLE6.SA,6339
2023-03-08,EQTL3.SA,1867
2023-03-08,GGBR4.SA,1983
2023-03-08,ITSA4.SA,6231
2023-03-08,BBAS3.SA,2413
2023-03-08,BBDC4.SA,3299
2023-03-09,AURE3.SA,3393
2023-03-09,CMIG4.SA,5822
2023-03-09,CPLE6.SA,6339
2023-03-09,EQTL3.SA,1867
2023-03-09,GGBR4.SA,1983
2023-03-09,ITSA4.SA,6231
2023-03-09,BBAS3.SA,2413
2023-03-09,BBDC4.SA,3299
2023-03-10,AURE3.SA,3393
2023-03-10,CMIG4.SA,5822
2023-03-10,CPLE6.SA,6339
2023-03-10,EQTL3.SA,1867
2023-03-10,ITSA4.SA,6231
2023-03-10,BBAS3.SA,2413
2023-03-10,BBDC4.SA,3299
2023-03-13,AURE3.SA,3393
2023-03-13,CMIG4.SA,5822
2023-03-13,CPLE6.SA,6339
2023-03-13,EQTL3.SA,1867
2023-03-13,ITSA4.SA,6231
2023-03-13,BBAS3.SA,2413
2023-03-13,BBDC4.SA,3299
2023-03-13,B3SA3.SA,2594
2023-03-13,BPAC11.SA,1453
2023-03-14,AURE3.SA,3393
2023-03-14,CMIG4.SA,5822
2023-03-14,CPLE6.SA,6339
2023-03-14,EQTL3.SA,1867
2023-03-14,ITSA4.SA,6231
2023-03-14,BBAS3.SA,2413
2023-03-14,BBDC4.SA,3299
2023-03-14,B3SA3.SA,2594
2023-03-15,AURE3.SA,3393
2023-03-15,CMIG4.SA,5822
2023-03-15,CPLE6.SA,6339
2023-03-15,EQTL3.SA,1867
