date,action,ticker,qty,price,fee_total,cash_delta_date,settlement_date,rule_id_or_reason
2023-01-02,BUY,ABEV3.SA,3442,14.5200,84.9668,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,AURE3.SA,3393,14.7300,84.9683,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,B3SA3.SA,3784,13.2100,84.9800,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BBAS3.SA,2878,17.3650,84.9647,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BBDC4.SA,3299,15.1500,84.9698,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BEEF3.SA,3857,12.9600,84.9801,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,BPAC11.SA,2089,23.9300,84.9847,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,CMIG4.SA,5833,8.5692,84.9765,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-02,BUY,COGN3.SA,23580,2.1200,84.9844,2023-01-02,2023-01-02,WEEKLY_BUY
2023-01-03,SELL,ABEV3.SA,3442,14.1900,83.2630,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,B3SA3.SA,3784,12.2500,79.5310,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BBAS3.SA,2878,16.6300,81.7917,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BBDC4.SA,3299,14.7500,82.9904,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BEEF3.SA,3857,12.7000,83.4758,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,BPAC11.SA,2089,22.3800,80.1277,2023-01-05,2023-01-05,HARD_STOP
2023-01-03,SELL,COGN3.SA,23580,2.0500,82.5085,2023-01-05,2023-01-05,HARD_STOP
2023-01-09,BUY,ELET3.SA,1339,41.0000,92.3485,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,EQTL3.SA,2148,25.5697,92.3857,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,GGBR4.SA,2282,24.0714,92.3965,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ITSA4.SA,7172,7.6592,92.3978,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,ITUB4.SA,2395,22.9364,92.3989,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-09,BUY,LREN3.SA,3116,17.6273,92.3899,2023-01-09,2023-01-09,WEEKLY_BUY
2023-01-10,SELL,ELET3.SA,1339,41.3000,92.9510,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,ITSA4.SA,7172,7.7134,92.9808,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,ITUB4.SA,2395,23.1000,92.9868,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,LREN3.SA,3116,17.6727,92.6023,2023-01-12,2023-01-12,HARD_STOP
2023-01-10,SELL,MGLU3.SA,2110,26.4697,93.7764,2023-01-12,2023-01-12,HARD_STOP
2023-01-16,BUY,PETR3.SA,2389,27.6900,109.2271,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,PETR4.SA,2693,24.5700,109.2505,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,PRIO3.SA,1694,39.0500,109.2260,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-16,BUY,RADL3.SA,2869,23.0577,109.2288,2023-01-16,2023-01-16,WEEKLY_BUY
2023-01-17,SELL,PETR3.SA,2389,27.0000,106.7545,2023-01-19,2023-01-19,HARD_STOP
2023-01-17,SELL,PETR4.SA,2693,24.0400,107.1096,2023-01-19,2023-01-19,HARD_STOP
2023-01-23,BUY,ABEV3.SA,7200,13.5300,156.1240,2023-01-23,2023-01-23,WEEKLY_BUY
2023-01-24,SELL,ABEV3.SA,7200,13.4200,154.9360,2023-01-26,2023-01-26,HARD_STOP
2023-01-31,SELL,RAIL3.SA,3583,18.1900,107.7622,2023-02-02,2023-02-02,HARD_STOP
2023-02-06,SELL,RADL3.SA,1434,22.7115,58.8525,2023-02-08,2023-02-08,SOFT_STOP
2023-02-06,SELL,B3SA3.SA,3809,12.1100,79.1905,2023-02-08,2023-02-08,SOFT_STOP
2023-02-07,SELL,RADL3.SA,717,22.7212,34.4366,2023-02-09,2023-02-09,SOFT_STOP
2023-02-07,SELL,B3SA3.SA,1904,12.1100,44.5862,2023-02-09,2023-02-09,SOFT_STOP
2023-02-07,SELL,BBDC4.SA,18989,13.5800,396.8059,2023-02-09,2023-02-09,HARD_STOP
2023-02-08,SELL,CMIG4.SA,2916,8.4385,46.9098,2023-02-10,2023-02-10,SOFT_STOP
2023-02-08,SELL,CPLE6.SA,3121,7.3679,44.4930,2023-02-10,2023-02-10,SOFT_STOP
2023-02-08,SELL,B3SA3.SA,952,11.8900,26.9789,2023-02-10,2023-02-10,SOFT_STOP
2023-02-09,SELL,B3SA3.SA,476,12.1200,18.6537,2023-02-13,2023-02-13,SOFT_STOP
2023-02-10,SELL,CMIG4.SA,1458,8.3538,28.2699,2023-02-14,2023-02-14,SOFT_STOP
2023-02-10,SELL,CPLE6.SA,1561,7.3479,27.2052,2023-02-14,2023-02-14,SOFT_STOP
2023-02-10,SELL,EQTL3.SA,1074,26.1890,52.1905,2023-02-14,2023-02-14,SOFT_STOP
2023-02-10,SELL,GGBR4.SA,1141,22.7540,48.9434,2023-02-14,2023-02-14,SOFT_STOP
2023-02-10,SELL,B3SA3.SA,477,11.6500,18.3356,2023-02-14,2023-02-14,HARD_STOP
2023-02-13,SELL,CMIG4.SA,729,8.4308,19.2190,2023-02-15,2023-02-15,SOFT_STOP
2023-02-13,SELL,GGBR4.SA,570,22.4762,29.2171,2023-02-15,2023-02-15,SOFT_STOP
2023-02-13,BUY,ABEV3.SA,27164,12.8600,533.9935,2023-02-13,2023-02-13,WEEKLY_BUY
2023-02-14,SELL,CMIG4.SA,365,8.4692,14.6369,2023-02-16,2023-02-16,SOFT_STOP
2023-02-14,SELL,GGBR4.SA,285,22.6905,19.7002,2023-02-16,2023-02-16,SOFT_STOP
2023-02-14,SELL,RADL3.SA,359,22.6346,22.1887,2023-02-16,2023-02-16,SOFT_STOP
2023-02-14,SELL,ABEV3.SA,27164,13.1300,544.9950,2023-02-16,2023-02-16,HARD_STOP
2023-02-14,SELL,BEEF3.SA,26445,12.9700,524.4875,2023-02-16,2023-02-16,HARD_STOP
2023-02-15,SELL,CMIG4.SA,182,8.3923,12.2911,2023-02-17,2023-02-17,SOFT_STOP
2023-02-15,SELL,CPLE6.SA,780,7.3279,18.5737,2023-02-17,2023-02-17,SOFT_STOP
2023-02-15,SELL,EQTL3.SA,537,26.3189,31.1998,2023-02-17,2023-02-17,SOFT_STOP
2023-02-15,SELL,GGBR4.SA,143,22.7460,14.8790,2023-02-17,2023-02-17,SOFT_STOP
2023-02-15,SELL,RADL3.SA,179,22.1154,15.9380,2023-02-17,2023-02-17,SOFT_STOP
2023-02-16,SELL,CMIG4.SA,91,8.3846,11.1445,2023-02-22,2023-02-22,SOFT_STOP
2023-02-16,SELL,GGBR4.SA,71,22.6508,12.4123,2023-02-22,2023-02-22,SOFT_STOP
2023-02-16,SELL,RADL3.SA,90,22.5577,13.0453,2023-02-22,2023-02-22,SOFT_STOP
2023-02-17,SELL,CMIG4.SA,46,8.4154,10.5807,2023-02-23,2023-02-23,SOFT_STOP
2023-02-17,SELL,GGBR4.SA,36,22.9048,11.2369,2023-02-23,2023-02-23,SOFT_STOP
2023-02-17,SELL,RADL3.SA,45,22.4038,11.5123,2023-02-23,2023-02-23,SOFT_STOP
2023-02-22,SELL,CMIG4.SA,23,8.4154,10.2903,2023-02-24,2023-02-24,SOFT_STOP
2023-02-22,SELL,GGBR4.SA,18,22.6905,10.6126,2023-02-24,2023-02-24,SOFT_STOP
2023-02-23,SELL,CMIG4.SA,11,8.2154,10.1356,2023-02-27,2023-02-27,SOFT_STOP
2023-02-23,SELL,CPLE6.SA,390,7.2080,14.2167,2023-02-27,2023-02-27,SOFT_STOP
2023-02-23,SELL,EQTL3.SA,268,25.8294,20.3834,2023-02-27,2023-02-27,SOFT_STOP
2023-02-23,SELL,GGBR4.SA,9,22.3413,10.3016,2023-02-27,2023-02-27,SOFT_STOP
2023-02-23,SELL,RADL3.SA,22,22.6250,10.7466,2023-02-27,2023-02-27,SOFT_STOP
2023-02-24,SELL,CMIG4.SA,6,8.2231,10.0740,2023-02-28,2023-02-28,SOFT_STOP
2023-02-24,SELL,CPLE6.SA,391,7.1380,14.1864,2023-02-28,2023-02-28,HARD_STOP
2023-02-24,SELL,EQTL3.SA,134,26.0192,15.2299,2023-02-28,2023-02-28,SOFT_STOP
2023-02-24,SELL,GGBR4.SA,4,22.5794,10.1355,2023-02-28,2023-02-28,SOFT_STOP
2023-02-24,SELL,RADL3.SA,11,22.3750,10.3692,2023-02-28,2023-02-28,SOFT_STOP
2023-02-27,SELL,CMIG4.SA,3,8.1154,10.0365,2023-03-01,2023-03-01,SOFT_STOP
2023-02-27,SELL,EQTL3.SA,67,25.6696,12.5798,2023-03-01,2023-03-01,SOFT_STOP
2023-02-27,SELL,GGBR4.SA,2,22.2619,10.0668,2023-03-01,2023-03-01,SOFT_STOP
2023-02-27,SELL,RADL3.SA,6,22.0577,10.1985,2023-03-01,2023-03-01,SOFT_STOP
2023-02-27,BUY,BBDC4.SA,30404,13.3000,616.5598,2023-02-27,2023-02-27,WEEKLY_BUY
2023-02-27,BUY,BPAC11.SA,19919,20.3000,616.5335,2023-02-27,2023-02-27,WEEKLY_BUY
2023-02-28,SELL,CMIG4.SA,1,8.1154,10.0122,2023-03-02,2023-03-02,SOFT_STOP
